State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Central Equatoria ,Bahr al Jabal,2010,corn,"37,372","32,888",0.879993899,central equatoria,juba
Central Equatoria ,Kajo Kaii,2010,corn,"55,723","66,868",1.200006819,central equatoria,kajo keji
Central Equatoria ,Terkaka,2010,corn,"18,409","16,200",0.880004998,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2010,corn,"40,814","48,977",1.20000441,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2011,corn,"23,097","14,782",0.639998095,central equatoria,juba
Central Equatoria ,Kajo Kaii,2011,corn,"47,082","52,732",1.120003143,central equatoria,kajo keji
Central Equatoria ,Terkaka,2011,corn,"18,961","10,618",0.559993882,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2011,corn,"46,242","62,889",1.359996626,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2012,corn,"21,051","18,524",0.879958767,central equatoria,juba
Central Equatoria ,Kajo Kaii,2012,corn,"38,765","46,518",1.199999484,central equatoria,kajo keji
Central Equatoria ,Terkaka,2012,corn,"18,224","13,122",0.720041045,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2012,corn,"15,531","19,879",1.279954414,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2013,corn,"14,950","14,352",0.960000268,central equatoria,juba
Central Equatoria ,Kajo Kaii,2013,corn,"10,034","12,041",1.200017939,central equatoria,kajo keji
Central Equatoria ,Terkaka,2013,corn,"15,771","12,617",0.80001395,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2013,corn,"8,550","10,943",1.279879767,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2014,corn,"37,373","32,888",0.879993899,central equatoria,juba
Central Equatoria ,Kajo Kaii,2014,corn,"55,723","66,868",1.200006819,central equatoria,kajo keji
Central Equatoria ,Terkaka,2014,corn,"18,409","16,200",0.880004998,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2014,corn,"40,814","48,977",1.20000441,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2015,corn,"23,097","14,782",0.639998095,central equatoria,juba
Central Equatoria ,Kajo Kaii,2015,corn,"47,082","52,732",1.120003143,central equatoria,kajo keji
Central Equatoria ,Terkaka,2015,corn,"18,961","10,618",0.559993882,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2015,corn,"46,242","62,889",1.359996626,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2016,corn,"21,051","18,524",0.879958767,central equatoria,juba
Central Equatoria ,Kajo Kaii,2016,corn,"38,765","46,518",1.199999484,central equatoria,kajo keji
Central Equatoria ,Terkaka,2016,corn,"18,224","13,122",0.720041045,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2016,corn,"15,531","19,879",1.279954414,central equatoria,yei
Central Equatoria ,Bahr al Jabal,2017,corn,"14,950","14,352",0.960000268,central equatoria,juba
Central Equatoria ,Kajo Kaii,2017,corn,"10,034","12,041",1.200017939,central equatoria,kajo keji
Central Equatoria ,Terkaka,2017,corn,"15,771","12,617",0.80001395,central equatoria,terekeka
Central Equatoria ,Nahr Yei,2017,corn,"8,550","10,943",1.279879767,central equatoria,yei
Eastern Equatoria ,Kapoeta,2010,corn,"7,419","4,748",0.639983286,eastern equatoria,kapoeta south
Eastern Equatoria ,Magwi,2010,corn,"38,119","45,742",1.199978488,eastern equatoria,magwi
Eastern Equatoria ,Kapoeta,2011,corn,"6,419","3,081",0.479989407,eastern equatoria,kapoeta south
Eastern Equatoria ,Magwi,2011,corn,"33,653","40,384",1.200011292,eastern equatoria,magwi
Eastern Equatoria ,Kapoeta,2012,corn,"5,128","2,462",0.480119342,eastern equatoria,kapoeta south
Eastern Equatoria ,Magwi,2012,corn,"15,846","17,748",1.120029534,eastern equatoria,magwi
Eastern Equatoria ,Kapoeta,2013,corn,"3,842","1,844",0.47997189,eastern equatoria,kapoeta south
Eastern Equatoria ,Magwi,2013,corn,"20,844","25,013",1.200008636,eastern equatoria,magwi
