State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Central Equatoria ,Juba ,2010,corn,"37,373","32,888",0.879993899,central equatoria,juba
Central Equatoria ,Kajo Keji ,2010,corn,"55,723","66,868",1.200006819,central equatoria,kajo keji
Central Equatoria ,Lainya ,2010,corn,"21,508","25,810",1.200017668,central equatoria,lainya
Central Equatoria ,Morobo ,2010,corn,"25,099","32,126",1.279970198,central equatoria,morobo
Central Equatoria ,Terekeka ,2010,corn,"18,409","16,200",0.880004998,central equatoria,terekeka
Central Equatoria ,Yei ,2010,corn,"40,814","48,977",1.20000441,central equatoria,yei
Central Equatoria ,Juba ,2011,corn,"23,097","14,782",0.639998095,central equatoria,juba
Central Equatoria ,Kajo Keji ,2011,corn,"47,082","52,732",1.120003143,central equatoria,kajo keji
Central Equatoria ,Lainya ,2011,corn,"24,369","25,343",1.039968649,central equatoria,lainya
Central Equatoria ,Morobo ,2011,corn,"37,603","51,140",1.359996915,central equatoria,morobo
Central Equatoria ,Terekeka ,2011,corn,"18,961","10,618",0.559993882,central equatoria,terekeka
Central Equatoria ,Yei ,2011,corn,"46,242","62,889",1.359996626,central equatoria,yei
Central Equatoria ,Juba ,2012,corn,"21,051","18,524",0.879958767,central equatoria,juba
Central Equatoria ,Kajo Keji ,2012,corn,"38,765","46,518",1.199999484,central equatoria,kajo keji
Central Equatoria ,Lainya ,2012,corn,"9,295","9,667",1.040021086,central equatoria,lainya
Central Equatoria ,Morobo ,2012,corn,"9,783","12,522",1.279972606,central equatoria,morobo
Central Equatoria ,Terekeka ,2012,corn,"18,224","13,122",0.720041045,central equatoria,terekeka
Central Equatoria ,Yei ,2012,corn,"15,531","19,879",1.279954414,central equatoria,yei
Central Equatoria ,Juba ,2013,corn,"14,950","14,352",0.960000268,central equatoria,juba
Central Equatoria ,Kajo Keji ,2013,corn,"10,034","12,041",1.200017939,central equatoria,kajo keji
Central Equatoria ,Lainya ,2013,corn,"4,637","4,822",1.039895624,central equatoria,lainya
Central Equatoria ,Morobo ,2013,corn,"5,921","7,578",1.27984665,central equatoria,morobo
Central Equatoria ,Terekeka ,2013,corn,"15,771","12,617",0.80001395,central equatoria,terekeka
Central Equatoria ,Yei ,2013,corn,"8,550","10,943",1.279879767,central equatoria,yei
Central Equatoria ,Juba ,2014,corn,"37,373","32,888",0.879993899,central equatoria,juba
Central Equatoria ,Kajo Keji ,2014,corn,"55,723","66,868",1.200006819,central equatoria,kajo keji
Central Equatoria ,Lainya ,2014,corn,"21,508","25,810",1.200017668,central equatoria,lainya
Central Equatoria ,Morobo ,2014,corn,"25,099","32,126",1.279970198,central equatoria,morobo
Central Equatoria ,Terekeka ,2014,corn,"18,409","16,200",0.880004998,central equatoria,terekeka
Central Equatoria ,Yei ,2014,corn,"40,814","48,977",1.20000441,central equatoria,yei
Central Equatoria ,Juba ,2015,corn,"23,097","14,782",0.639998095,central equatoria,juba
Central Equatoria ,Kajo Keji ,2015,corn,"47,082","52,732",1.120003143,central equatoria,kajo keji
Central Equatoria ,Lainya ,2015,corn,"24,369","25,343",1.039968649,central equatoria,lainya
Central Equatoria ,Morobo ,2015,corn,"37,603","51,140",1.359996915,central equatoria,morobo
Central Equatoria ,Terekeka ,2015,corn,"18,961","10,618",0.559993882,central equatoria,terekeka
Central Equatoria ,Yei ,2015,corn,"46,242","62,889",1.359996626,central equatoria,yei
Central Equatoria ,Juba ,2016,corn,"21,051","18,524",0.879958767,central equatoria,juba
Central Equatoria ,Kajo Keji ,2016,corn,"38,765","46,518",1.199999484,central equatoria,kajo keji
