,STATE,YEAR,Crop,YIELD
0,Akobo,2010,corn,0.560152946
1,Akobo,2011,corn,0.799973661
2,Akobo,2012,corn,0.800080044
3,Akobo,2013,corn,0.800003562
4,Akobo,2014,corn,0.560152946
5,Akobo,2015,corn,0.799973661
6,Akobo,2016,corn,0.800080044
7,Akobo,2017,corn,0.800003562
8,Al Leiri,2010,corn,0.47983334
9,Al Leiri,2011,corn,0.56000011
10,Al Leiri,2012,corn,0.56025046
11,Al Leiri,2013,corn,0.559840484
12,Al Leiri,2014,corn,0.47983334
13,Al Leiri,2015,corn,0.56000011
14,Al Leiri,2016,corn,0.56025046
15,Al Leiri,2017,corn,0.559840484
16,Al Mabien,2010,corn,0.479934125
17,Al Mabien,2011,corn,0.640087373
18,Al Mabien,2012,corn,0.640043947
19,Al Mabien,2013,corn,0.639997076
20,Al Mabien,2014,corn,0.479934125
21,Al Mabien,2015,corn,0.640087373
22,Al Mabien,2016,corn,0.640043947
23,Al Mabien,2017,corn,0.639997076
24,Al Mayom,2010,corn,1.0
25,Al Mayom,2011,corn,0.503824624
26,Al Mayom,2012,corn,0.503991937
27,Al Mayom,2013,corn,0.503907919
28,Al Mayom,2014,corn,1.0
29,Al Mayom,2015,corn,0.503824624
30,Al Mayom,2016,corn,0.503991937
31,Al Mayom,2017,corn,0.503907919
32,Al Renk,2010,corn,0.47997833
33,Al Renk,2011,corn,0.639988772
34,Al Renk,2012,corn,0.639976258
35,Al Renk,2013,corn,0.720008936
36,Al Renk,2014,corn,0.47997833
37,Al Renk,2015,corn,0.639988772
38,Al Renk,2016,corn,0.639976258
39,Al Renk,2017,corn,0.720008936
40,Aweil Centre ,2010,corn,0.876202511
41,Aweil Centre ,2011,corn,0.876202511
42,Aweil Centre ,2012,corn,0.876202511
43,Aweil Centre ,2013,corn,0.876202511
44,Aweil Centre ,2014,corn,0.876202511
45,Aweil Centre ,2015,corn,0.876202511
46,Aweil Centre ,2016,corn,0.876202511
47,Aweil Centre ,2017,corn,0.876202511
48,Bahr al Jabal,2010,corn,0.879993899
49,Bahr al Jabal,2011,corn,0.639998095
50,Bahr al Jabal,2012,corn,0.879958767
51,Bahr al Jabal,2013,corn,0.960000268
52,Bahr al Jabal,2014,corn,0.879993899
53,Bahr al Jabal,2015,corn,0.639998095
54,Bahr al Jabal,2016,corn,0.879958767
55,Bahr al Jabal,2017,corn,0.960000268
56,Baleit,2010,corn,0.64000012
57,Baleit,2011,corn,0.480582608
58,Baleit,2012,corn,0.480208387
59,Baleit,2013,corn,0.476190975
60,Baleit,2014,corn,0.64000012
61,Baleit,2015,corn,0.480582608
62,Baleit,2016,corn,0.480208387
63,Baleit,2017,corn,0.476190975
64,Bor,2010,corn,0.719668493
65,Bor,2011,corn,0.640167953
66,Bor,2012,corn,0.64004224
67,Bor,2013,corn,0.679938369
68,Bor,2014,corn,0.719668493
69,Bor,2015,corn,0.640167953
70,Bor,2016,corn,0.64004224
71,Bor,2017,corn,0.679938369
72,Faring,2010,corn,0.720107417
73,Faring,2011,corn,0.640063439
74,Faring,2012,corn,0.6401035
75,Faring,2013,corn,0.639972561
76,Faring,2014,corn,0.720107417
77,Faring,2015,corn,0.640063439
78,Faring,2016,corn,0.6401035
79,Faring,2017,corn,0.639972561
80,Fashooda,2010,corn,0.639757857
81,Fashooda,2011,corn,0.479623988
82,Fashooda,2012,corn,0.48076943
83,Fashooda,2013,corn,0.481818653
84,Fashooda,2014,corn,0.639757857
85,Fashooda,2015,corn,0.479623988
86,Fashooda,2016,corn,0.48076943
87,Fashooda,2017,corn,0.481818653
88,Gogrial,2010,corn,1.11998248
89,Gogrial,2011,corn,0.80000044
90,Gogrial,2012,corn,0.960000808
91,Gogrial,2013,corn,1.0
92,Gogrial,2014,corn,1.11998248
93,Gogrial,2015,corn,0.80000044
94,Gogrial,2016,corn,0.960000808
95,Gogrial,2017,corn,1.0
96,Kajo Kaii,2010,corn,1.200006819
97,Kajo Kaii,2011,corn,1.120003143
98,Kajo Kaii,2012,corn,1.199999484
99,Kajo Kaii,2013,corn,1.200017939
100,Kajo Kaii,2014,corn,1.200006819
101,Kajo Kaii,2015,corn,1.120003143
102,Kajo Kaii,2016,corn,1.199999484
103,Kajo Kaii,2017,corn,1.200017939
104,Kapoeta,2010,corn,0.639983286
105,Kapoeta,2011,corn,0.479989407
106,Kapoeta,2012,corn,0.480119342
107,Kapoeta,2013,corn,0.47997189
108,Kapoeta,2014,corn,0.639983286
109,Kapoeta,2015,corn,0.479989407
110,Kapoeta,2016,corn,0.480119342
111,Kapoeta,2017,corn,0.47997189
112,Magwi,2010,corn,1.199978488
113,Magwi,2011,corn,1.200011292
114,Magwi,2012,corn,1.120029534
115,Magwi,2013,corn,1.200008636
116,Magwi,2014,corn,1.199978488
117,Magwi,2015,corn,1.200011292
118,Magwi,2016,corn,1.120029534
119,Magwi,2017,corn,1.200008636
120,Malut,2010,corn,0.800076058
121,Malut,2011,corn,0.799772877
122,Malut,2012,corn,0.799860647
123,Malut,2013,corn,0.800003949
124,Malut,2014,corn,0.800076058
125,Malut,2015,corn,0.799772877
126,Malut,2016,corn,0.799860647
127,Malut,2017,corn,0.800003949
128,Meridi,2010,corn,1.199979858
129,Meridi,2011,corn,1.040035845
130,Meridi,2012,corn,1.040034895
131,Meridi,2013,corn,1.039982307
132,Meridi,2014,corn,1.199979858
133,Meridi,2015,corn,1.040035845
134,Meridi,2016,corn,1.040034895
135,Meridi,2017,corn,1.039982307
136,Mundri,2010,corn,1.359994894
137,Mundri,2011,corn,0.879866442
138,Mundri,2012,corn,0.879991134
139,Mundri,2013,corn,0.960001333
140,Mundri,2014,corn,1.359994894
141,Mundri,2015,corn,0.879866442
142,Mundri,2016,corn,0.879991134
143,Mundri,2017,corn,0.960001333
144,Nahr Yei,2010,corn,1.20000441
145,Nahr Yei,2011,corn,1.359996626
146,Nahr Yei,2012,corn,1.279954414
147,Nahr Yei,2013,corn,1.279879767
148,Nahr Yei,2014,corn,1.20000441
149,Nahr Yei,2015,corn,1.359996626
150,Nahr Yei,2016,corn,1.279954414
151,Nahr Yei,2017,corn,1.279879767
152,Pibor,2010,corn,1.039999339
153,Pibor,2011,corn,0.880016046
154,Pibor,2012,corn,0.720095298
155,Pibor,2013,corn,0.799977399
156,Pibor,2014,corn,1.039999339
157,Pibor,2015,corn,0.880016046
158,Pibor,2016,corn,0.720095298
159,Pibor,2017,corn,0.799977399
160,Rabkona,2010,corn,1.0
161,Rabkona,2011,corn,0.480000061
162,Rabkona,2012,corn,0.479310405
163,Rabkona,2013,corn,0.479608568
164,Rabkona,2014,corn,1.0
165,Rabkona,2015,corn,0.480000061
166,Rabkona,2016,corn,0.479310405
