Year,Week Ending,State,Commodity,Data Item,Yield
2022,,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",134
2022,,ALABAMA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42
2022,,ARIZONA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",126
2022,,ARIZONA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",102
2022,,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178
2022,,ARKANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2022,,ARKANSAS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",58
2022,,CALIFORNIA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",45
2022,,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220
2022,,CALIFORNIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",65
2022,,CALIFORNIA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",112
2022,,CALIFORNIA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",43
2022,,COLORADO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",127
2022,,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",118
2022,,COLORADO,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",32
2022,,COLORADO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",26
2022,,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172
2022,,DELAWARE,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2022,,GEORGIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",166
2022,,GEORGIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44
2022,,IDAHO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",95
2022,,IDAHO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210
2022,,IDAHO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",85
2022,,IDAHO,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",94
2022,,IDAHO,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",85
2022,,IDAHO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",91
2022,,ILLINOIS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",203
2022,,ILLINOIS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",90
2022,,ILLINOIS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66
2022,,ILLINOIS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",79
2022,,INDIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",189
2022,,INDIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60
2022,,INDIANA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",82
2022,,IOWA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205
2022,,IOWA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",70
2022,,IOWA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58
2022,,KANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123
2022,,KANSAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",60
2022,,KANSAS,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",61
2022,,KANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40
2022,,KANSAS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",38
2022,,KENTUCKY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147
2022,,KENTUCKY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54
2022,,KENTUCKY,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",82
2022,,LOUISIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175
2022,,LOUISIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52
2022,,MAINE,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",65
2022,,MARYLAND,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172
2022,,MARYLAND,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2022,,MARYLAND,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",74
2022,,MICHIGAN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",170
