,YEAR,STATE,COMMODITY,YIELD
110,2001,DELAWARE,CORN,146
111,2002,DELAWARE,CORN,84
112,2003,DELAWARE,CORN,123
113,2004,DELAWARE,CORN,152
114,2005,DELAWARE,CORN,143
115,2006,DELAWARE,CORN,145
116,2007,DELAWARE,CORN,99
117,2008,DELAWARE,CORN,125
118,2009,DELAWARE,CORN,145
119,2010,DELAWARE,CORN,114
120,2011,DELAWARE,CORN,130
121,2012,DELAWARE,CORN,135
122,2013,DELAWARE,CORN,166
123,2014,DELAWARE,CORN,200
124,2015,DELAWARE,CORN,192
125,2016,DELAWARE,CORN,170
126,2017,DELAWARE,CORN,189
127,2018,DELAWARE,CORN,145
128,2019,DELAWARE,CORN,161
129,2020,DELAWARE,CORN,160
130,2021,DELAWARE,CORN,184
131,2022,DELAWARE,CORN,172
132,2001,FLORIDA,CORN,87
133,2002,FLORIDA,CORN,96
134,2003,FLORIDA,CORN,82
135,2004,FLORIDA,CORN,90
136,2005,FLORIDA,CORN,94
137,2006,FLORIDA,CORN,82
138,2007,FLORIDA,CORN,90
139,2008,FLORIDA,CORN,110
140,2009,FLORIDA,CORN,97
141,2010,FLORIDA,CORN,109
142,2011,FLORIDA,CORN,104
143,2012,FLORIDA,CORN,115
144,2013,FLORIDA,CORN,133
145,2014,FLORIDA,CORN,135
146,2015,FLORIDA,CORN,141
147,2016,FLORIDA,CORN,145
148,2017,FLORIDA,CORN,161
149,2018,FLORIDA,CORN,157
150,2019,FLORIDA,CORN,161
151,2020,FLORIDA,CORN,138
152,2021,FLORIDA,CORN,176
175,2001,IDAHO,CORN,150
176,2002,IDAHO,CORN,155
177,2003,IDAHO,CORN,140
178,2004,IDAHO,CORN,175
179,2005,IDAHO,CORN,170
180,2006,IDAHO,CORN,170
181,2007,IDAHO,CORN,170
182,2008,IDAHO,CORN,170
183,2009,IDAHO,CORN,185
184,2010,IDAHO,CORN,190
185,2011,IDAHO,CORN,189
186,2012,IDAHO,CORN,195
187,2013,IDAHO,CORN,181
188,2014,IDAHO,CORN,200
189,2015,IDAHO,CORN,207
190,2016,IDAHO,CORN,188
191,2017,IDAHO,CORN,203
192,2018,IDAHO,CORN,213
193,2019,IDAHO,CORN,205
194,2020,IDAHO,CORN,199
195,2021,IDAHO,CORN,210
196,2022,IDAHO,CORN,210
241,2001,IOWA,CORN,146
242,2002,IOWA,CORN,163
243,2003,IOWA,CORN,157
244,2004,IOWA,CORN,181
245,2005,IOWA,CORN,173
246,2006,IOWA,CORN,166
247,2007,IOWA,CORN,171
248,2008,IOWA,CORN,171
249,2009,IOWA,CORN,181
250,2010,IOWA,CORN,165
251,2011,IOWA,CORN,172
252,2012,IOWA,CORN,137
253,2013,IOWA,CORN,164
254,2014,IOWA,CORN,178
255,2015,IOWA,CORN,192
256,2016,IOWA,CORN,203
257,2017,IOWA,CORN,202
258,2018,IOWA,CORN,196
259,2019,IOWA,CORN,198
260,2020,IOWA,CORN,177
261,2021,IOWA,CORN,205
262,2022,IOWA,CORN,205
263,2001,KANSAS,CORN,127
264,2002,KANSAS,CORN,116
265,2003,KANSAS,CORN,120
266,2004,KANSAS,CORN,150
267,2005,KANSAS,CORN,135
268,2006,KANSAS,CORN,115
269,2007,KANSAS,CORN,138
270,2008,KANSAS,CORN,133
271,2009,KANSAS,CORN,155
272,2010,KANSAS,CORN,124
273,2011,KANSAS,CORN,107
274,2012,KANSAS,CORN,95
275,2013,KANSAS,CORN,126
276,2014,KANSAS,CORN,149
277,2015,KANSAS,CORN,148
278,2016,KANSAS,CORN,142
279,2017,KANSAS,CORN,132
280,2018,KANSAS,CORN,129
281,2019,KANSAS,CORN,133
282,2020,KANSAS,CORN,134
283,2021,KANSAS,CORN,139
284,2022,KANSAS,CORN,123
285,2001,KENTUCKY,CORN,142
286,2002,KENTUCKY,CORN,104
287,2003,KENTUCKY,CORN,137
288,2004,KENTUCKY,CORN,152
289,2005,KENTUCKY,CORN,132
290,2006,KENTUCKY,CORN,146
