,YEAR,STATE,COMMODITY,YIELD
1,2001,DELAWARE,CORN,146
2,2002,DELAWARE,CORN,84
3,2003,DELAWARE,CORN,123
4,2004,DELAWARE,CORN,152
5,2005,DELAWARE,CORN,143
6,2006,DELAWARE,CORN,145
7,2007,DELAWARE,CORN,99
8,2008,DELAWARE,CORN,125
9,2009,DELAWARE,CORN,145
10,2010,DELAWARE,CORN,114
11,2011,DELAWARE,CORN,130
12,2012,DELAWARE,CORN,135
13,2013,DELAWARE,CORN,166
14,2014,DELAWARE,CORN,200
15,2015,DELAWARE,CORN,192
16,2017,DELAWARE,CORN,189
17,2018,DELAWARE,CORN,145
18,2019,DELAWARE,CORN,161
19,2020,DELAWARE,CORN,160
20,2021,DELAWARE,CORN,184
21,2022,DELAWARE,CORN,172
23,2001,FLORIDA,CORN,87
24,2002,FLORIDA,CORN,96
25,2003,FLORIDA,CORN,82
26,2004,FLORIDA,CORN,90
27,2005,FLORIDA,CORN,94
28,2006,FLORIDA,CORN,82
29,2007,FLORIDA,CORN,90
30,2008,FLORIDA,CORN,110
31,2009,FLORIDA,CORN,97
32,2010,FLORIDA,CORN,109
33,2011,FLORIDA,CORN,104
34,2012,FLORIDA,CORN,115
35,2013,FLORIDA,CORN,133
36,2014,FLORIDA,CORN,135
37,2015,FLORIDA,CORN,141
38,2017,FLORIDA,CORN,161
39,2018,FLORIDA,CORN,157
40,2019,FLORIDA,CORN,161
41,2020,FLORIDA,CORN,138
42,2021,FLORIDA,CORN,176
43,2022,FLORIDA,CORN,176
45,2001,IDAHO,CORN,150
46,2002,IDAHO,CORN,155
47,2003,IDAHO,CORN,140
48,2004,IDAHO,CORN,175
49,2005,IDAHO,CORN,170
50,2006,IDAHO,CORN,170
51,2007,IDAHO,CORN,170
52,2008,IDAHO,CORN,170
53,2009,IDAHO,CORN,185
54,2010,IDAHO,CORN,190
55,2011,IDAHO,CORN,189
56,2012,IDAHO,CORN,195
57,2013,IDAHO,CORN,181
58,2014,IDAHO,CORN,200
59,2015,IDAHO,CORN,207
60,2017,IDAHO,CORN,203
61,2018,IDAHO,CORN,213
62,2019,IDAHO,CORN,205
63,2020,IDAHO,CORN,199
64,2021,IDAHO,CORN,210
65,2022,IDAHO,CORN,210
67,2001,IOWA,CORN,146
68,2002,IOWA,CORN,163
69,2003,IOWA,CORN,157
70,2004,IOWA,CORN,181
71,2005,IOWA,CORN,173
72,2006,IOWA,CORN,166
73,2007,IOWA,CORN,171
74,2008,IOWA,CORN,171
75,2009,IOWA,CORN,181
76,2010,IOWA,CORN,165
77,2011,IOWA,CORN,172
78,2012,IOWA,CORN,137
79,2013,IOWA,CORN,164
80,2014,IOWA,CORN,178
81,2015,IOWA,CORN,192
82,2017,IOWA,CORN,202
83,2018,IOWA,CORN,196
84,2019,IOWA,CORN,198
85,2020,IOWA,CORN,177
86,2021,IOWA,CORN,205
87,2022,IOWA,CORN,205
89,2001,KANSAS,CORN,127
90,2002,KANSAS,CORN,116
91,2003,KANSAS,CORN,120
92,2004,KANSAS,CORN,150
93,2005,KANSAS,CORN,135
94,2006,KANSAS,CORN,115
95,2007,KANSAS,CORN,138
96,2008,KANSAS,CORN,133
97,2009,KANSAS,CORN,155
98,2010,KANSAS,CORN,124
99,2011,KANSAS,CORN,107
100,2012,KANSAS,CORN,95
101,2013,KANSAS,CORN,126
102,2014,KANSAS,CORN,149
103,2015,KANSAS,CORN,148
104,2017,KANSAS,CORN,132
105,2018,KANSAS,CORN,129
106,2019,KANSAS,CORN,133
107,2020,KANSAS,CORN,134
108,2021,KANSAS,CORN,139
109,2022,KANSAS,CORN,123
111,2001,KENTUCKY,CORN,142
112,2002,KENTUCKY,CORN,104
113,2003,KENTUCKY,CORN,137
114,2004,KENTUCKY,CORN,152
115,2005,KENTUCKY,CORN,132
116,2006,KENTUCKY,CORN,146
117,2007,KENTUCKY,CORN,128
118,2008,KENTUCKY,CORN,136
119,2009,KENTUCKY,CORN,165
120,2010,KENTUCKY,CORN,124
121,2011,KENTUCKY,CORN,139
122,2012,KENTUCKY,CORN,68
123,2013,KENTUCKY,CORN,170
124,2014,KENTUCKY,CORN,158
125,2015,KENTUCKY,CORN,172
126,2017,KENTUCKY,CORN,178
127,2018,KENTUCKY,CORN,175
128,2019,KENTUCKY,CORN,169
129,2020,KENTUCKY,CORN,184
130,2021,KENTUCKY,CORN,192
131,2022,KENTUCKY,CORN,147
133,2001,LOUISIANA,CORN,148
134,2002,LOUISIANA,CORN,121
135,2003,LOUISIANA,CORN,134
136,2004,LOUISIANA,CORN,135
137,2005,LOUISIANA,CORN,136
138,2006,LOUISIANA,CORN,140
139,2007,LOUISIANA,CORN,163
140,2008,LOUISIANA,CORN,144
141,2009,LOUISIANA,CORN,132
142,2010,LOUISIANA,CORN,140
143,2011,LOUISIANA,CORN,135
144,2012,LOUISIANA,CORN,173
145,2013,LOUISIANA,CORN,173
146,2014,LOUISIANA,CORN,183
147,2015,LOUISIANA,CORN,171
148,2017,LOUISIANA,CORN,184
149,2018,LOUISIANA,CORN,173
150,2019,LOUISIANA,CORN,165
151,2020,LOUISIANA,CORN,181
152,2021,LOUISIANA,CORN,183
153,2022,LOUISIANA,CORN,175
155,2001,MARYLAND,CORN,136
156,2002,MARYLAND,CORN,74
157,2003,MARYLAND,CORN,123
158,2004,MARYLAND,CORN,153
159,2005,MARYLAND,CORN,135
160,2006,MARYLAND,CORN,140
161,2007,MARYLAND,CORN,101
162,2008,MARYLAND,CORN,121
163,2009,MARYLAND,CORN,145
164,2010,MARYLAND,CORN,106
165,2011,MARYLAND,CORN,109
166,2012,MARYLAND,CORN,122
167,2013,MARYLAND,CORN,158
168,2014,MARYLAND,CORN,175
169,2015,MARYLAND,CORN,164
170,2017,MARYLAND,CORN,172
171,2018,MARYLAND,CORN,146
172,2019,MARYLAND,CORN,161
173,2020,MARYLAND,CORN,155
174,2021,MARYLAND,CORN,175
175,2022,MARYLAND,CORN,172
177,2001,MICHIGAN,CORN,105
178,2002,MICHIGAN,CORN,117
179,2003,MICHIGAN,CORN,128
180,2004,MICHIGAN,CORN,134
181,2005,MICHIGAN,CORN,143
182,2006,MICHIGAN,CORN,147
183,2007,MICHIGAN,CORN,123
184,2008,MICHIGAN,CORN,138
185,2009,MICHIGAN,CORN,148
186,2010,MICHIGAN,CORN,149
187,2011,MICHIGAN,CORN,153
188,2012,MICHIGAN,CORN,132
189,2013,MICHIGAN,CORN,155
190,2014,MICHIGAN,CORN,161
191,2015,MICHIGAN,CORN,162
192,2017,MICHIGAN,CORN,159
193,2018,MICHIGAN,CORN,153
194,2019,MICHIGAN,CORN,147
195,2020,MICHIGAN,CORN,153
196,2021,MICHIGAN,CORN,174
197,2022,MICHIGAN,CORN,170
199,2001,MINNESOTA,CORN,130
200,2002,MINNESOTA,CORN,157
201,2003,MINNESOTA,CORN,146
202,2004,MINNESOTA,CORN,159
203,2005,MINNESOTA,CORN,174
204,2006,MINNESOTA,CORN,161
205,2007,MINNESOTA,CORN,146
206,2008,MINNESOTA,CORN,162
207,2009,MINNESOTA,CORN,174
208,2010,MINNESOTA,CORN,177
209,2011,MINNESOTA,CORN,155
210,2012,MINNESOTA,CORN,165
211,2013,MINNESOTA,CORN,159
212,2014,MINNESOTA,CORN,156
213,2015,MINNESOTA,CORN,188
214,2017,MINNESOTA,CORN,194
215,2018,MINNESOTA,CORN,182
216,2019,MINNESOTA,CORN,173
217,2020,MINNESOTA,CORN,191
218,2021,MINNESOTA,CORN,178
219,2022,MINNESOTA,CORN,193
221,2001,MISSOURI,CORN,133
222,2002,MISSOURI,CORN,105
223,2003,MISSOURI,CORN,108
224,2004,MISSOURI,CORN,162
225,2005,MISSOURI,CORN,111
226,2006,MISSOURI,CORN,138
227,2007,MISSOURI,CORN,140
228,2008,MISSOURI,CORN,144
229,2009,MISSOURI,CORN,153
230,2010,MISSOURI,CORN,123
231,2011,MISSOURI,CORN,114
232,2012,MISSOURI,CORN,75
233,2013,MISSOURI,CORN,136
234,2014,MISSOURI,CORN,186
235,2015,MISSOURI,CORN,142
236,2017,MISSOURI,CORN,170
237,2018,MISSOURI,CORN,140
238,2019,MISSOURI,CORN,155
239,2020,MISSOURI,CORN,171
240,2021,MISSOURI,CORN,160
241,2022,MISSOURI,CORN,153
243,2001,MONTANA,CORN,148
244,2002,MONTANA,CORN,140
245,2003,MONTANA,CORN,140
246,2004,MONTANA,CORN,143
247,2005,MONTANA,CORN,148
248,2006,MONTANA,CORN,146
249,2007,MONTANA,CORN,140
250,2008,MONTANA,CORN,122
251,2009,MONTANA,CORN,152
252,2010,MONTANA,CORN,135
253,2011,MONTANA,CORN,127
254,2012,MONTANA,CORN,104
255,2013,MONTANA,CORN,115
256,2014,MONTANA,CORN,100
257,2015,MONTANA,CORN,110
258,2017,MONTANA,CORN,70
259,2018,MONTANA,CORN,85
260,2019,MONTANA,CORN,95
261,2020,MONTANA,CORN,109
262,2021,MONTANA,CORN,100
263,2022,MONTANA,CORN,100
265,2001,NEBRASKA,CORN,147
266,2002,NEBRASKA,CORN,128
267,2003,NEBRASKA,CORN,146
268,2004,NEBRASKA,CORN,166
269,2005,NEBRASKA,CORN,154
270,2006,NEBRASKA,CORN,152
271,2007,NEBRASKA,CORN,160
272,2008,NEBRASKA,CORN,163
273,2009,NEBRASKA,CORN,179
274,2010,NEBRASKA,CORN,166
275,2011,NEBRASKA,CORN,160
276,2012,NEBRASKA,CORN,142
277,2013,NEBRASKA,CORN,169
278,2014,NEBRASKA,CORN,179
279,2015,NEBRASKA,CORN,185
280,2017,NEBRASKA,CORN,181
281,2018,NEBRASKA,CORN,192
282,2019,NEBRASKA,CORN,182
283,2020,NEBRASKA,CORN,180
284,2021,NEBRASKA,CORN,194
285,2022,NEBRASKA,CORN,181
287,2001,NEW JERSEY,CORN,112
288,2002,NEW JERSEY,CORN,61
289,2003,NEW JERSEY,CORN,113
290,2004,NEW JERSEY,CORN,143
291,2005,NEW JERSEY,CORN,122
292,2006,NEW JERSEY,CORN,129
293,2007,NEW JERSEY,CORN,124
294,2008,NEW JERSEY,CORN,116
295,2009,NEW JERSEY,CORN,143
296,2010,NEW JERSEY,CORN,114
297,2011,NEW JERSEY,CORN,123
298,2012,NEW JERSEY,CORN,118
299,2013,NEW JERSEY,CORN,139
300,2014,NEW JERSEY,CORN,157
301,2015,NEW JERSEY,CORN,147
302,2017,NEW JERSEY,CORN,167
303,2018,NEW JERSEY,CORN,141
304,2019,NEW JERSEY,CORN,155
305,2020,NEW JERSEY,CORN,156
306,2021,NEW JERSEY,CORN,163
307,2022,NEW JERSEY,CORN,163
309,2001,NORTH CAROLINA,CORN,125
310,2002,NORTH CAROLINA,CORN,83
311,2003,NORTH CAROLINA,CORN,106
312,2004,NORTH CAROLINA,CORN,117
313,2005,NORTH CAROLINA,CORN,120
314,2006,NORTH CAROLINA,CORN,132
315,2007,NORTH CAROLINA,CORN,100
316,2008,NORTH CAROLINA,CORN,78
317,2009,NORTH CAROLINA,CORN,117
318,2010,NORTH CAROLINA,CORN,91
319,2011,NORTH CAROLINA,CORN,84
320,2012,NORTH CAROLINA,CORN,117
321,2013,NORTH CAROLINA,CORN,142
322,2014,NORTH CAROLINA,CORN,132
323,2015,NORTH CAROLINA,CORN,113
324,2017,NORTH CAROLINA,CORN,142
325,2018,NORTH CAROLINA,CORN,113
326,2019,NORTH CAROLINA,CORN,111
327,2020,NORTH CAROLINA,CORN,113
328,2021,NORTH CAROLINA,CORN,149
329,2022,NORTH CAROLINA,CORN,108
331,2001,OHIO,CORN,138
332,2002,OHIO,CORN,89
333,2003,OHIO,CORN,156
334,2004,OHIO,CORN,158
335,2005,OHIO,CORN,143
336,2006,OHIO,CORN,159
337,2007,OHIO,CORN,150
338,2008,OHIO,CORN,131
339,2009,OHIO,CORN,171
340,2010,OHIO,CORN,160
341,2011,OHIO,CORN,153
342,2012,OHIO,CORN,120
343,2013,OHIO,CORN,174
344,2014,OHIO,CORN,176
345,2015,OHIO,CORN,153
346,2017,OHIO,CORN,177
347,2018,OHIO,CORN,187
348,2019,OHIO,CORN,164
349,2020,OHIO,CORN,171
350,2021,OHIO,CORN,193
351,2022,OHIO,CORN,190
353,2001,OREGON,CORN,140
354,2002,OREGON,CORN,160
355,2003,OREGON,CORN,170
356,2004,OREGON,CORN,170
357,2005,OREGON,CORN,160
358,2006,OREGON,CORN,180
359,2007,OREGON,CORN,200
360,2008,OREGON,CORN,195
361,2009,OREGON,CORN,215
362,2010,OREGON,CORN,200
363,2011,OREGON,CORN,215
364,2012,OREGON,CORN,205
365,2013,OREGON,CORN,188
366,2014,OREGON,CORN,190
367,2015,OREGON,CORN,188
368,2017,OREGON,CORN,212
369,2018,OREGON,CORN,195
370,2019,OREGON,CORN,237
371,2020,OREGON,CORN,241
372,2021,OREGON,CORN,240
373,2022,OREGON,CORN,240
375,2001,PENNSYLVANIA,CORN,98
376,2002,PENNSYLVANIA,CORN,68
377,2003,PENNSYLVANIA,CORN,115
378,2004,PENNSYLVANIA,CORN,140
379,2005,PENNSYLVANIA,CORN,122
380,2006,PENNSYLVANIA,CORN,122
381,2007,PENNSYLVANIA,CORN,124
382,2008,PENNSYLVANIA,CORN,133
383,2009,PENNSYLVANIA,CORN,142
384,2010,PENNSYLVANIA,CORN,128
385,2011,PENNSYLVANIA,CORN,111
386,2012,PENNSYLVANIA,CORN,131
387,2013,PENNSYLVANIA,CORN,146
388,2014,PENNSYLVANIA,CORN,154
389,2015,PENNSYLVANIA,CORN,147
390,2017,PENNSYLVANIA,CORN,161
391,2018,PENNSYLVANIA,CORN,140
392,2019,PENNSYLVANIA,CORN,153
393,2020,PENNSYLVANIA,CORN,138
394,2021,PENNSYLVANIA,CORN,169
395,2022,PENNSYLVANIA,CORN,158
397,2001,TENNESSEE,CORN,132
398,2002,TENNESSEE,CORN,107
399,2003,TENNESSEE,CORN,131
400,2004,TENNESSEE,CORN,140
401,2005,TENNESSEE,CORN,130
402,2006,TENNESSEE,CORN,125
403,2007,TENNESSEE,CORN,106
404,2008,TENNESSEE,CORN,118
405,2009,TENNESSEE,CORN,148
406,2010,TENNESSEE,CORN,117
407,2011,TENNESSEE,CORN,131
408,2012,TENNESSEE,CORN,85
409,2013,TENNESSEE,CORN,156
410,2014,TENNESSEE,CORN,168
411,2015,TENNESSEE,CORN,160
412,2017,TENNESSEE,CORN,171
413,2018,TENNESSEE,CORN,168
414,2019,TENNESSEE,CORN,177
415,2020,TENNESSEE,CORN,170
416,2021,TENNESSEE,CORN,170
417,2022,TENNESSEE,CORN,130
419,2001,TEXAS,CORN,118
420,2002,TEXAS,CORN,113
421,2003,TEXAS,CORN,118
422,2004,TEXAS,CORN,139
423,2005,TEXAS,CORN,114
424,2006,TEXAS,CORN,121
425,2007,TEXAS,CORN,148
426,2008,TEXAS,CORN,118
427,2009,TEXAS,CORN,124
