,YEAR,Period,STATE,YIELD
1,2000,YEAR,DELAWARE,43
2,2001,YEAR,DELAWARE,39
3,2002,YEAR,DELAWARE,25
4,2003,YEAR,DELAWARE,36
5,2004,YEAR,DELAWARE,42.5
6,2005,YEAR,DELAWARE,26
7,2006,YEAR,DELAWARE,31.5
8,2007,YEAR,DELAWARE,26
9,2008,YEAR,DELAWARE,27.5
10,2009,YEAR,DELAWARE,42
11,2010,YEAR,DELAWARE,32
12,2011,YEAR,DELAWARE,39.5
13,2012,YEAR,DELAWARE,42.5
14,2013,YEAR,DELAWARE,40.5
15,2014,YEAR,DELAWARE,47.5
16,2015,YEAR,DELAWARE,40
17,2016,YEAR,DELAWARE,41.5
18,2017,YEAR,DELAWARE,51
19,2018,YEAR,DELAWARE,41.5
20,2019,YEAR,DELAWARE,47
21,2020,YEAR,DELAWARE,49
22,2021,YEAR,DELAWARE,51
23,2022,YEAR,DELAWARE,46
24,2000,YEAR,FLORIDA,19
25,2001,YEAR,FLORIDA,29
26,2002,YEAR,FLORIDA,33
27,2003,YEAR,FLORIDA,30
28,2004,YEAR,FLORIDA,34
29,2005,YEAR,FLORIDA,32
30,2006,YEAR,FLORIDA,27
31,2007,YEAR,FLORIDA,24
32,2008,YEAR,FLORIDA,38
33,2009,YEAR,FLORIDA,38
34,2010,YEAR,FLORIDA,30
35,2011,YEAR,FLORIDA,27
36,2012,YEAR,FLORIDA,39
37,2013,YEAR,FLORIDA,41
38,2014,YEAR,FLORIDA,43
39,2015,YEAR,FLORIDA,38
40,2016,YEAR,FLORIDA,36
41,2017,YEAR,FLORIDA,34
42,2018,YEAR,FLORIDA,37
43,2000,YEAR,IOWA,43.5
44,2001,YEAR,IOWA,44
45,2002,YEAR,IOWA,48
46,2003,YEAR,IOWA,32.5
47,2004,YEAR,IOWA,49
48,2005,YEAR,IOWA,52.5
49,2006,YEAR,IOWA,50.5
50,2007,YEAR,IOWA,52
51,2008,YEAR,IOWA,46.5
52,2009,YEAR,IOWA,51
53,2010,YEAR,IOWA,51
54,2011,YEAR,IOWA,51.5
55,2012,YEAR,IOWA,45
56,2013,YEAR,IOWA,45.5
57,2014,YEAR,IOWA,51
58,2015,YEAR,IOWA,56.5
59,2016,YEAR,IOWA,60
60,2017,YEAR,IOWA,57
61,2018,YEAR,IOWA,56
62,2019,YEAR,IOWA,55
63,2020,YEAR,IOWA,54
64,2021,YEAR,IOWA,62
65,2022,YEAR,IOWA,58
66,2000,YEAR,KANSAS,20
67,2001,YEAR,KANSAS,32
68,2002,YEAR,KANSAS,23
69,2003,YEAR,KANSAS,23
70,2004,YEAR,KANSAS,41
71,2005,YEAR,KANSAS,37
72,2006,YEAR,KANSAS,32
73,2007,YEAR,KANSAS,33
74,2008,YEAR,KANSAS,37
75,2009,YEAR,KANSAS,44.5
76,2010,YEAR,KANSAS,33
77,2011,YEAR,KANSAS,27.5
78,2012,YEAR,KANSAS,23
79,2013,YEAR,KANSAS,37
80,2014,YEAR,KANSAS,35.5
81,2015,YEAR,KANSAS,38.5
82,2016,YEAR,KANSAS,48
83,2017,YEAR,KANSAS,37.5
84,2018,YEAR,KANSAS,43
85,2019,YEAR,KANSAS,41.5
86,2020,YEAR,KANSAS,41
87,2021,YEAR,KANSAS,39.5
88,2022,YEAR,KANSAS,40
89,2000,YEAR,KENTUCKY,39
90,2001,YEAR,KENTUCKY,40
91,2002,YEAR,KENTUCKY,33
92,2003,YEAR,KENTUCKY,43.5
93,2004,YEAR,KENTUCKY,44
94,2005,YEAR,KENTUCKY,43
95,2006,YEAR,KENTUCKY,44
