,YEAR,STATE,YIELD
1,2001,DELAWARE,39
2,2002,DELAWARE,25
3,2003,DELAWARE,36
4,2004,DELAWARE,42.5
5,2005,DELAWARE,26
6,2006,DELAWARE,31.5
7,2007,DELAWARE,26
8,2008,DELAWARE,27.5
9,2009,DELAWARE,42
10,2010,DELAWARE,32
11,2011,DELAWARE,39.5
12,2012,DELAWARE,42.5
13,2013,DELAWARE,40.5
14,2014,DELAWARE,47.5
15,2015,DELAWARE,40
16,2016,DELAWARE,41.5
17,2017,DELAWARE,51
18,2018,DELAWARE,41.5
19,2019,DELAWARE,47
20,2020,DELAWARE,49
21,2021,DELAWARE,51
22,2022,DELAWARE,46
23,2001,FLORIDA,29
24,2002,FLORIDA,33
25,2003,FLORIDA,30
26,2004,FLORIDA,34
27,2005,FLORIDA,32
28,2006,FLORIDA,27
29,2007,FLORIDA,24
30,2008,FLORIDA,38
31,2009,FLORIDA,38
32,2010,FLORIDA,30
33,2011,FLORIDA,27
34,2012,FLORIDA,39
35,2013,FLORIDA,41
36,2014,FLORIDA,43
37,2015,FLORIDA,38
38,2016,FLORIDA,36
39,2017,FLORIDA,34
40,2018,FLORIDA,37
41,2019,FLORIDA,36
42,2020,FLORIDA,34
43,2021,FLORIDA,37
44,2022,FLORIDA,37
45,2001,IOWA,44
46,2002,IOWA,48
47,2003,IOWA,32.5
48,2004,IOWA,49
49,2005,IOWA,52.5
50,2006,IOWA,50.5
51,2007,IOWA,52
52,2008,IOWA,46.5
53,2009,IOWA,51
54,2010,IOWA,51
55,2011,IOWA,51.5
56,2012,IOWA,45
57,2013,IOWA,45.5
58,2014,IOWA,51
59,2015,IOWA,56.5
60,2016,IOWA,60
61,2017,IOWA,57
62,2018,IOWA,56
63,2019,IOWA,55
64,2020,IOWA,54
65,2021,IOWA,62
66,2022,IOWA,58
67,2001,KANSAS,32
68,2002,KANSAS,23
69,2003,KANSAS,23
70,2004,KANSAS,41
71,2005,KANSAS,37
72,2006,KANSAS,32
73,2007,KANSAS,33
74,2008,KANSAS,37
75,2009,KANSAS,44.5
76,2010,KANSAS,33
77,2011,KANSAS,27.5
78,2012,KANSAS,23
79,2013,KANSAS,37
80,2014,KANSAS,35.5
81,2015,KANSAS,38.5
82,2016,KANSAS,48
83,2017,KANSAS,37.5
84,2018,KANSAS,43
85,2019,KANSAS,41.5
86,2020,KANSAS,41
87,2021,KANSAS,39.5
88,2022,KANSAS,40
89,2001,KENTUCKY,40
90,2002,KENTUCKY,33
91,2003,KENTUCKY,43.5
92,2004,KENTUCKY,44
93,2005,KENTUCKY,43
94,2006,KENTUCKY,44
95,2007,KENTUCKY,27.5
96,2008,KENTUCKY,34.5
97,2009,KENTUCKY,48
98,2010,KENTUCKY,34
99,2011,KENTUCKY,39
100,2012,KENTUCKY,40
101,2013,KENTUCKY,50
102,2014,KENTUCKY,47.5
103,2015,KENTUCKY,49
104,2016,KENTUCKY,50
105,2017,KENTUCKY,53
106,2018,KENTUCKY,51
107,2019,KENTUCKY,46
108,2020,KENTUCKY,55
109,2021,KENTUCKY,56
110,2022,KENTUCKY,54
111,2001,LOUISIANA,33
112,2002,LOUISIANA,32
113,2003,LOUISIANA,34
114,2004,LOUISIANA,33
115,2005,LOUISIANA,34
116,2006,LOUISIANA,36
117,2007,LOUISIANA,43
118,2008,LOUISIANA,33
119,2009,LOUISIANA,39
120,2010,LOUISIANA,41
121,2011,LOUISIANA,36
122,2012,LOUISIANA,46.5
123,2013,LOUISIANA,48.5
124,2014,LOUISIANA,56.5
125,2015,LOUISIANA,41
126,2016,LOUISIANA,48.5
127,2017,LOUISIANA,54
128,2018,LOUISIANA,51.5
129,2019,LOUISIANA,48
130,2020,LOUISIANA,53
131,2021,LOUISIANA,52
132,2022,LOUISIANA,52
133,2001,MARYLAND,39
134,2002,MARYLAND,23
135,2003,MARYLAND,37
136,2004,MARYLAND,43
137,2005,MARYLAND,34
138,2006,MARYLAND,34
139,2007,MARYLAND,27.5
140,2008,MARYLAND,30
141,2009,MARYLAND,42
142,2010,MARYLAND,34
143,2011,MARYLAND,39
144,2012,MARYLAND,47
145,2013,MARYLAND,39.5
146,2014,MARYLAND,46
147,2015,MARYLAND,40
148,2016,MARYLAND,41.5
149,2017,MARYLAND,51
150,2018,MARYLAND,47.5
151,2019,MARYLAND,44
152,2020,MARYLAND,47
153,2021,MARYLAND,53
154,2022,MARYLAND,53
155,2001,MICHIGAN,30
156,2002,MICHIGAN,38.5
157,2003,MICHIGAN,27.5
158,2004,MICHIGAN,38
159,2005,MICHIGAN,38.5
160,2006,MICHIGAN,46
161,2007,MICHIGAN,40
162,2008,MICHIGAN,37
163,2009,MICHIGAN,40
164,2010,MICHIGAN,43.5
165,2011,MICHIGAN,44.5
166,2012,MICHIGAN,43
167,2013,MICHIGAN,44.5
168,2014,MICHIGAN,42.5
169,2015,MICHIGAN,49
170,2016,MICHIGAN,50.5
171,2017,MICHIGAN,42.5
172,2018,MICHIGAN,47.5
173,2019,MICHIGAN,40.5
174,2020,MICHIGAN,48
175,2021,MICHIGAN,51
176,2022,MICHIGAN,47
177,2001,MINNESOTA,37
178,2002,MINNESOTA,43.5
179,2003,MINNESOTA,32
180,2004,MINNESOTA,33
181,2005,MINNESOTA,45.5
182,2006,MINNESOTA,44.5
183,2007,MINNESOTA,42.5
184,2008,MINNESOTA,38
185,2009,MINNESOTA,40
186,2010,MINNESOTA,45
187,2011,MINNESOTA,39
188,2012,MINNESOTA,43.5
189,2013,MINNESOTA,42
190,2014,MINNESOTA,41.5
191,2015,MINNESOTA,50
192,2016,MINNESOTA,52
193,2017,MINNESOTA,47.5
194,2018,MINNESOTA,49
195,2019,MINNESOTA,44
196,2020,MINNESOTA,50
197,2021,MINNESOTA,47
198,2022,MINNESOTA,50
199,2001,MISSOURI,38
200,2002,MISSOURI,34
201,2003,MISSOURI,29.5
202,2004,MISSOURI,45
203,2005,MISSOURI,37
204,2006,MISSOURI,38
205,2007,MISSOURI,37.5
206,2008,MISSOURI,38
207,2009,MISSOURI,43.5
208,2010,MISSOURI,41.5
209,2011,MISSOURI,36.5
210,2012,MISSOURI,30
211,2013,MISSOURI,36
212,2014,MISSOURI,46.5
213,2015,MISSOURI,40.5
214,2016,MISSOURI,49
215,2017,MISSOURI,49.5
216,2018,MISSOURI,44.5
217,2019,MISSOURI,46
218,2020,MISSOURI,51
219,2021,MISSOURI,49
220,2022,MISSOURI,49
221,2001,NEBRASKA,45.5
222,2002,NEBRASKA,38.5
223,2003,NEBRASKA,40.5
224,2004,NEBRASKA,46
225,2005,NEBRASKA,50.5
226,2006,NEBRASKA,50
227,2007,NEBRASKA,51
228,2008,NEBRASKA,46.5
229,2009,NEBRASKA,54.5
230,2010,NEBRASKA,52.5
231,2011,NEBRASKA,54
232,2012,NEBRASKA,41.5
233,2013,NEBRASKA,53.5
234,2014,NEBRASKA,54
235,2015,NEBRASKA,58
236,2016,NEBRASKA,61
237,2017,NEBRASKA,57.5
238,2018,NEBRASKA,58
239,2019,NEBRASKA,58.5
240,2020,NEBRASKA,58
241,2021,NEBRASKA,63
242,2022,NEBRASKA,55
243,2001,NEW JERSEY,31
244,2002,NEW JERSEY,24
245,2003,NEW JERSEY,34
246,2004,NEW JERSEY,42
247,2005,NEW JERSEY,28
248,2006,NEW JERSEY,35
249,2007,NEW JERSEY,31
250,2008,NEW JERSEY,30
251,2009,NEW JERSEY,42
252,2010,NEW JERSEY,24
253,2011,NEW JERSEY,38
254,2012,NEW JERSEY,39
255,2013,NEW JERSEY,39.5
256,2014,NEW JERSEY,44
257,2015,NEW JERSEY,32
258,2016,NEW JERSEY,36
259,2017,NEW JERSEY,45
260,2018,NEW JERSEY,39.5
261,2019,NEW JERSEY,37
262,2020,NEW JERSEY,46
263,2021,NEW JERSEY,46
264,2022,NEW JERSEY,36
265,2001,NORTH CAROLINA,32
266,2002,NORTH CAROLINA,24
267,2003,NORTH CAROLINA,30
268,2004,NORTH CAROLINA,34
269,2005,NORTH CAROLINA,27
270,2006,NORTH CAROLINA,32
271,2007,NORTH CAROLINA,22
272,2008,NORTH CAROLINA,33
273,2009,NORTH CAROLINA,34
274,2010,NORTH CAROLINA,26
275,2011,NORTH CAROLINA,30.5
276,2012,NORTH CAROLINA,39.5
277,2013,NORTH CAROLINA,33.5
278,2014,NORTH CAROLINA,40
279,2015,NORTH CAROLINA,32
280,2016,NORTH CAROLINA,35
281,2017,NORTH CAROLINA,40
282,2018,NORTH CAROLINA,33
283,2019,NORTH CAROLINA,35
284,2020,NORTH CAROLINA,38
285,2021,NORTH CAROLINA,40
286,2022,NORTH CAROLINA,37
287,2001,OHIO,41
288,2002,OHIO,32
289,2003,OHIO,38.5
290,2004,OHIO,47
291,2005,OHIO,45
292,2006,OHIO,47
293,2007,OHIO,47
294,2008,OHIO,36
295,2009,OHIO,49
296,2010,OHIO,48
297,2011,OHIO,48
298,2012,OHIO,45
299,2013,OHIO,49.5
300,2014,OHIO,52.5
301,2015,OHIO,50
302,2016,OHIO,54.5
303,2017,OHIO,49.5
304,2018,OHIO,56
305,2019,OHIO,49
306,2020,OHIO,55
307,2021,OHIO,56.5
308,2022,OHIO,57
309,2001,PENNSYLVANIA,35
310,2002,PENNSYLVANIA,26
311,2003,PENNSYLVANIA,41
312,2004,PENNSYLVANIA,46
313,2005,PENNSYLVANIA,41
314,2006,PENNSYLVANIA,40
315,2007,PENNSYLVANIA,41
316,2008,PENNSYLVANIA,40
317,2009,PENNSYLVANIA,46
318,2010,PENNSYLVANIA,42
319,2011,PENNSYLVANIA,44
320,2012,PENNSYLVANIA,48
321,2013,PENNSYLVANIA,49
322,2014,PENNSYLVANIA,49
323,2015,PENNSYLVANIA,44
324,2016,PENNSYLVANIA,44
325,2017,PENNSYLVANIA,48
326,2018,PENNSYLVANIA,44.5
327,2019,PENNSYLVANIA,49
328,2020,PENNSYLVANIA,46
329,2021,PENNSYLVANIA,53
330,2022,PENNSYLVANIA,50
331,2001,TENNESSEE,34
332,2002,TENNESSEE,31
333,2003,TENNESSEE,42
334,2004,TENNESSEE,41
335,2005,TENNESSEE,38
336,2006,TENNESSEE,39
337,2007,TENNESSEE,19
338,2008,TENNESSEE,34
339,2009,TENNESSEE,45
340,2010,TENNESSEE,31
341,2011,TENNESSEE,32
342,2012,TENNESSEE,38
343,2013,TENNESSEE,46.5
344,2014,TENNESSEE,46
345,2015,TENNESSEE,46
346,2016,TENNESSEE,45
347,2017,TENNESSEE,50
348,2018,TENNESSEE,45.5
349,2019,TENNESSEE,47
350,2020,TENNESSEE,50
351,2021,TENNESSEE,50
352,2022,TENNESSEE,44
353,2001,TEXAS,26
354,2002,TEXAS,28
355,2003,TEXAS,29
356,2004,TEXAS,32
357,2005,TEXAS,26
358,2006,TEXAS,24
359,2007,TEXAS,37.5
360,2008,TEXAS,24.5
361,2009,TEXAS,25.5
362,2010,TEXAS,30
363,2011,TEXAS,19
364,2012,TEXAS,26
365,2013,TEXAS,25.5
366,2014,TEXAS,38.5
367,2015,TEXAS,26
368,2016,TEXAS,31
369,2017,TEXAS,37
370,2018,TEXAS,31.5
371,2019,TEXAS,28
372,2020,TEXAS,34
373,2021,TEXAS,38
374,2022,TEXAS,30
375,2001,VIRGINIA,35.5
376,2002,VIRGINIA,23
377,2003,VIRGINIA,34
378,2004,VIRGINIA,39
379,2005,VIRGINIA,30.5
380,2006,VIRGINIA,31
381,2007,VIRGINIA,27.5
382,2008,VIRGINIA,32
383,2009,VIRGINIA,37
384,2010,VIRGINIA,26
385,2011,VIRGINIA,40
386,2012,VIRGINIA,42
387,2013,VIRGINIA,38.5
388,2014,VIRGINIA,39.5
389,2015,VIRGINIA,34.5
390,2016,VIRGINIA,36
391,2017,VIRGINIA,44
392,2018,VIRGINIA,42
393,2019,VIRGINIA,34
394,2020,VIRGINIA,42
395,2021,VIRGINIA,46
396,2022,VIRGINIA,47
397,2001,WISCONSIN,37
398,2002,WISCONSIN,44
399,2003,WISCONSIN,28
400,2004,WISCONSIN,34.5
401,2005,WISCONSIN,44
402,2006,WISCONSIN,44
403,2007,WISCONSIN,40.5
