,YEAR,STATE,COMMODITY,YIELD
0,2000,ALABAMA,CORN,65.0
1,2001,ALABAMA,CORN,107.0
2,2002,ALABAMA,CORN,88.0
3,2003,ALABAMA,CORN,122.0
4,2004,ALABAMA,CORN,123.0
5,2005,ALABAMA,CORN,119.0
6,2006,ALABAMA,CORN,72.0
7,2007,ALABAMA,CORN,78.0
8,2008,ALABAMA,CORN,104.0
9,2009,ALABAMA,CORN,108.0
10,2010,ALABAMA,CORN,115.0
11,2011,ALABAMA,CORN,114.0
12,2012,ALABAMA,CORN,98.0
13,2013,ALABAMA,CORN,147.0
14,2014,ALABAMA,CORN,159.0
15,2015,ALABAMA,CORN,147.0
16,2016,ALABAMA,CORN,120.0
17,2017,ALABAMA,CORN,167.0
18,2018,ALABAMA,CORN,156.0
19,2019,ALABAMA,CORN,147.0
20,2020,ALABAMA,CORN,158.0
21,2021,ALABAMA,CORN,163.0
22,2022,ALABAMA,CORN,134.0
23,2000,ARIZONA,CORN,196.0
24,2001,ARIZONA,CORN,208.0
25,2002,ARIZONA,CORN,185.0
26,2003,ARIZONA,CORN,190.0
27,2004,ARIZONA,CORN,180.0
28,2005,ARIZONA,CORN,195.0
29,2006,ARIZONA,CORN,170.0
30,2007,ARIZONA,CORN,185.0
31,2008,ARIZONA,CORN,165.0
32,2009,ARIZONA,CORN,175.0
33,2010,ARIZONA,CORN,210.0
34,2011,ARIZONA,CORN,178.0
35,2012,ARIZONA,CORN,195.0
36,2013,ARIZONA,CORN,177.0
37,2014,ARIZONA,CORN,210.0
38,2015,ARIZONA,CORN,210.0
39,2016,ARIZONA,CORN,215.0
40,2017,ARIZONA,CORN,195.0
41,2018,ARIZONA,CORN,220.0
42,2019,ARIZONA,CORN,231.0
43,2020,ARIZONA,CORN,202.0
44,2021,ARIZONA,CORN,181.0
45,2000,ARKANSAS,CORN,130.0
46,2001,ARKANSAS,CORN,145.0
47,2002,ARKANSAS,CORN,134.0
48,2003,ARKANSAS,CORN,140.0
49,2004,ARKANSAS,CORN,140.0
50,2005,ARKANSAS,CORN,131.0
51,2006,ARKANSAS,CORN,146.0
52,2007,ARKANSAS,CORN,169.0
53,2008,ARKANSAS,CORN,152.0
54,2009,ARKANSAS,CORN,148.0
55,2010,ARKANSAS,CORN,150.0
56,2011,ARKANSAS,CORN,141.0
57,2012,ARKANSAS,CORN,178.0
58,2013,ARKANSAS,CORN,186.0
59,2014,ARKANSAS,CORN,187.0
60,2015,ARKANSAS,CORN,181.0
61,2016,ARKANSAS,CORN,171.0
62,2017,ARKANSAS,CORN,183.0
63,2018,ARKANSAS,CORN,181.0
64,2019,ARKANSAS,CORN,175.0
65,2020,ARKANSAS,CORN,184.0
66,2021,ARKANSAS,CORN,184.0
67,2022,ARKANSAS,CORN,178.0
68,2000,CALIFORNIA,CORN,170.0
69,2001,CALIFORNIA,CORN,170.0
70,2002,CALIFORNIA,CORN,170.0
71,2003,CALIFORNIA,CORN,160.0
72,2004,CALIFORNIA,CORN,175.0
73,2005,CALIFORNIA,CORN,172.0
74,2006,CALIFORNIA,CORN,165.0
75,2007,CALIFORNIA,CORN,182.0
76,2008,CALIFORNIA,CORN,195.0
77,2009,CALIFORNIA,CORN,180.0
78,2010,CALIFORNIA,CORN,192.0
79,2011,CALIFORNIA,CORN,181.0
80,2012,CALIFORNIA,CORN,180.0
81,2013,CALIFORNIA,CORN,191.0
82,2014,CALIFORNIA,CORN,165.0
83,2015,CALIFORNIA,CORN,157.0
84,2016,CALIFORNIA,CORN,185.0
85,2017,CALIFORNIA,CORN,167.0
86,2018,CALIFORNIA,CORN,173.0
87,2019,CALIFORNIA,CORN,168.0
88,2020,CALIFORNIA,CORN,187.0
89,2021,CALIFORNIA,CORN,188.0
90,2022,CALIFORNIA,CORN,220.0
91,2000,COLORADO,CORN,126.0
92,2001,COLORADO,CORN,140.0
93,2002,COLORADO,CORN,150.0
94,2003,COLORADO,CORN,135.0
95,2004,COLORADO,CORN,135.0
96,2005,COLORADO,CORN,148.0
97,2006,COLORADO,CORN,156.0
98,2007,COLORADO,CORN,140.0
99,2008,COLORADO,CORN,137.0
100,2009,COLORADO,CORN,153.0
101,2010,COLORADO,CORN,151.0
102,2011,COLORADO,CORN,133.0
103,2012,COLORADO,CORN,133.0
104,2013,COLORADO,CORN,131.0
105,2014,COLORADO,CORN,146.0
106,2015,COLORADO,CORN,142.0
107,2016,COLORADO,CORN,137.0
108,2017,COLORADO,CORN,143.0
109,2018,COLORADO,CORN,130.0
110,2019,COLORADO,CORN,123.0
111,2020,COLORADO,CORN,116.0
112,2021,COLORADO,CORN,129.0
113,2022,COLORADO,CORN,118.0
114,2000,DELAWARE,CORN,162.0
115,2001,DELAWARE,CORN,146.0
116,2002,DELAWARE,CORN,84.0
117,2003,DELAWARE,CORN,123.0
118,2004,DELAWARE,CORN,152.0
119,2005,DELAWARE,CORN,143.0
120,2006,DELAWARE,CORN,145.0
121,2007,DELAWARE,CORN,99.0
122,2008,DELAWARE,CORN,125.0
123,2009,DELAWARE,CORN,145.0
124,2010,DELAWARE,CORN,114.0
125,2011,DELAWARE,CORN,130.0
126,2012,DELAWARE,CORN,135.0
127,2013,DELAWARE,CORN,166.0
128,2014,DELAWARE,CORN,200.0
129,2015,DELAWARE,CORN,192.0
130,2016,DELAWARE,CORN,170.0
131,2017,DELAWARE,CORN,189.0
132,2018,DELAWARE,CORN,145.0
133,2019,DELAWARE,CORN,161.0
134,2020,DELAWARE,CORN,160.0
135,2021,DELAWARE,CORN,184.0
136,2022,DELAWARE,CORN,172.0
137,2000,FLORIDA,CORN,75.0
138,2001,FLORIDA,CORN,87.0
139,2002,FLORIDA,CORN,96.0
140,2003,FLORIDA,CORN,82.0
141,2004,FLORIDA,CORN,90.0
142,2005,FLORIDA,CORN,94.0
143,2006,FLORIDA,CORN,82.0
144,2007,FLORIDA,CORN,90.0
145,2008,FLORIDA,CORN,110.0
146,2009,FLORIDA,CORN,97.0
147,2010,FLORIDA,CORN,109.0
148,2011,FLORIDA,CORN,104.0
149,2012,FLORIDA,CORN,115.0
150,2013,FLORIDA,CORN,133.0
151,2014,FLORIDA,CORN,135.0
152,2015,FLORIDA,CORN,141.0
153,2016,FLORIDA,CORN,145.0
154,2017,FLORIDA,CORN,161.0
155,2018,FLORIDA,CORN,157.0
156,2019,FLORIDA,CORN,161.0
157,2020,FLORIDA,CORN,138.0
158,2021,FLORIDA,CORN,176.0
159,2000,GEORGIA,CORN,107.0
160,2001,GEORGIA,CORN,134.0
161,2002,GEORGIA,CORN,110.0
162,2003,GEORGIA,CORN,126.0
163,2004,GEORGIA,CORN,128.0
164,2005,GEORGIA,CORN,128.0
165,2006,GEORGIA,CORN,110.0
166,2007,GEORGIA,CORN,127.0
167,2008,GEORGIA,CORN,140.0
168,2009,GEORGIA,CORN,140.0
169,2010,GEORGIA,CORN,146.0
170,2011,GEORGIA,CORN,159.0
171,2012,GEORGIA,CORN,180.0
172,2013,GEORGIA,CORN,175.0
173,2014,GEORGIA,CORN,170.0
174,2015,GEORGIA,CORN,171.0
175,2016,GEORGIA,CORN,165.0
176,2017,GEORGIA,CORN,176.0
177,2018,GEORGIA,CORN,176.0
178,2019,GEORGIA,CORN,160.0
179,2020,GEORGIA,CORN,180.0
180,2021,GEORGIA,CORN,182.0
181,2022,GEORGIA,CORN,166.0
182,2000,IDAHO,CORN,160.0
183,2001,IDAHO,CORN,150.0
184,2002,IDAHO,CORN,155.0
185,2003,IDAHO,CORN,140.0
186,2004,IDAHO,CORN,175.0
187,2005,IDAHO,CORN,170.0
188,2006,IDAHO,CORN,170.0
189,2007,IDAHO,CORN,170.0
190,2008,IDAHO,CORN,170.0
191,2009,IDAHO,CORN,185.0
192,2010,IDAHO,CORN,190.0
193,2011,IDAHO,CORN,189.0
194,2012,IDAHO,CORN,195.0
195,2013,IDAHO,CORN,181.0
196,2014,IDAHO,CORN,200.0
197,2015,IDAHO,CORN,207.0
198,2016,IDAHO,CORN,188.0
199,2017,IDAHO,CORN,203.0
200,2018,IDAHO,CORN,213.0
201,2019,IDAHO,CORN,205.0
202,2020,IDAHO,CORN,199.0
203,2021,IDAHO,CORN,210.0
204,2022,IDAHO,CORN,210.0
205,2000,ILLINOIS,CORN,151.0
206,2001,ILLINOIS,CORN,152.0
207,2002,ILLINOIS,CORN,135.0
208,2003,ILLINOIS,CORN,164.0
209,2004,ILLINOIS,CORN,180.0
210,2005,ILLINOIS,CORN,143.0
211,2006,ILLINOIS,CORN,163.0
212,2007,ILLINOIS,CORN,175.0
213,2008,ILLINOIS,CORN,179.0
214,2009,ILLINOIS,CORN,174.0
215,2010,ILLINOIS,CORN,157.0
216,2011,ILLINOIS,CORN,157.0
217,2012,ILLINOIS,CORN,105.0
218,2013,ILLINOIS,CORN,178.0
219,2014,ILLINOIS,CORN,200.0
220,2015,ILLINOIS,CORN,175.0
221,2016,ILLINOIS,CORN,197.0
222,2017,ILLINOIS,CORN,201.0
223,2018,ILLINOIS,CORN,210.0
224,2019,ILLINOIS,CORN,181.0
225,2020,ILLINOIS,CORN,191.0
226,2021,ILLINOIS,CORN,202.0
227,2022,ILLINOIS,CORN,203.0
228,2000,INDIANA,CORN,146.0
229,2001,INDIANA,CORN,156.0
230,2002,INDIANA,CORN,121.0
231,2003,INDIANA,CORN,146.0
232,2004,INDIANA,CORN,168.0
233,2005,INDIANA,CORN,154.0
234,2006,INDIANA,CORN,157.0
