,YEAR,STATE,COMMODITY,YIELD
0,2003,ALABAMA,CORN,122
1,2004,ALABAMA,CORN,123
2,2005,ALABAMA,CORN,119
3,2006,ALABAMA,CORN,72
4,2007,ALABAMA,CORN,78
5,2008,ALABAMA,CORN,104
6,2009,ALABAMA,CORN,108
7,2010,ALABAMA,CORN,115
8,2011,ALABAMA,CORN,114
9,2012,ALABAMA,CORN,98
10,2013,ALABAMA,CORN,147
11,2014,ALABAMA,CORN,159
12,2015,ALABAMA,CORN,147
13,2017,ALABAMA,CORN,167
14,2018,ALABAMA,CORN,156
15,2019,ALABAMA,CORN,147
16,2020,ALABAMA,CORN,158
17,2021,ALABAMA,CORN,163
18,2003,ARIZONA,CORN,190
19,2004,ARIZONA,CORN,180
20,2005,ARIZONA,CORN,195
21,2006,ARIZONA,CORN,170
22,2007,ARIZONA,CORN,185
23,2008,ARIZONA,CORN,165
24,2009,ARIZONA,CORN,175
25,2010,ARIZONA,CORN,210
26,2011,ARIZONA,CORN,178
27,2012,ARIZONA,CORN,195
28,2013,ARIZONA,CORN,177
29,2014,ARIZONA,CORN,210
30,2015,ARIZONA,CORN,210
31,2017,ARIZONA,CORN,195
32,2018,ARIZONA,CORN,220
33,2019,ARIZONA,CORN,231
34,2020,ARIZONA,CORN,202
35,2021,ARIZONA,CORN,181
36,2003,ARKANSAS,CORN,140
37,2004,ARKANSAS,CORN,140
38,2005,ARKANSAS,CORN,131
39,2006,ARKANSAS,CORN,146
40,2007,ARKANSAS,CORN,169
41,2008,ARKANSAS,CORN,152
42,2009,ARKANSAS,CORN,148
43,2010,ARKANSAS,CORN,150
44,2011,ARKANSAS,CORN,141
45,2012,ARKANSAS,CORN,178
46,2013,ARKANSAS,CORN,186
47,2014,ARKANSAS,CORN,187
48,2015,ARKANSAS,CORN,181
49,2017,ARKANSAS,CORN,183
50,2018,ARKANSAS,CORN,181
51,2019,ARKANSAS,CORN,175
52,2020,ARKANSAS,CORN,184
53,2021,ARKANSAS,CORN,184
54,2003,CALIFORNIA,CORN,160
55,2004,CALIFORNIA,CORN,175
56,2005,CALIFORNIA,CORN,172
57,2006,CALIFORNIA,CORN,165
58,2007,CALIFORNIA,CORN,182
59,2008,CALIFORNIA,CORN,195
60,2009,CALIFORNIA,CORN,180
61,2010,CALIFORNIA,CORN,192
62,2011,CALIFORNIA,CORN,181
63,2012,CALIFORNIA,CORN,180
64,2013,CALIFORNIA,CORN,191
65,2014,CALIFORNIA,CORN,165
66,2015,CALIFORNIA,CORN,157
67,2017,CALIFORNIA,CORN,167
68,2018,CALIFORNIA,CORN,173
69,2019,CALIFORNIA,CORN,168
70,2020,CALIFORNIA,CORN,187
71,2021,CALIFORNIA,CORN,188
72,2003,COLORADO,CORN,135
73,2004,COLORADO,CORN,135
74,2005,COLORADO,CORN,148
75,2006,COLORADO,CORN,156
76,2007,COLORADO,CORN,140
77,2008,COLORADO,CORN,137
78,2009,COLORADO,CORN,153
79,2010,COLORADO,CORN,151
80,2011,COLORADO,CORN,133
81,2012,COLORADO,CORN,133
82,2013,COLORADO,CORN,131
83,2014,COLORADO,CORN,146
84,2015,COLORADO,CORN,142
85,2017,COLORADO,CORN,143
86,2018,COLORADO,CORN,130
87,2019,COLORADO,CORN,123
88,2020,COLORADO,CORN,116
89,2021,COLORADO,CORN,129
90,2003,DELAWARE,CORN,123
91,2004,DELAWARE,CORN,152
92,2005,DELAWARE,CORN,143
93,2006,DELAWARE,CORN,145
94,2007,DELAWARE,CORN,99
95,2008,DELAWARE,CORN,125
96,2009,DELAWARE,CORN,145
97,2010,DELAWARE,CORN,114
98,2011,DELAWARE,CORN,130
99,2012,DELAWARE,CORN,135
100,2013,DELAWARE,CORN,166
101,2014,DELAWARE,CORN,200
102,2015,DELAWARE,CORN,192
103,2017,DELAWARE,CORN,189
104,2018,DELAWARE,CORN,145
105,2019,DELAWARE,CORN,161
106,2020,DELAWARE,CORN,160
107,2021,DELAWARE,CORN,184
108,2003,FLORIDA,CORN,82
109,2004,FLORIDA,CORN,90
110,2005,FLORIDA,CORN,94
111,2006,FLORIDA,CORN,82
112,2007,FLORIDA,CORN,90
113,2008,FLORIDA,CORN,110
114,2009,FLORIDA,CORN,97
115,2010,FLORIDA,CORN,109
116,2011,FLORIDA,CORN,104
