STATE,YEAR,PRODUCTION,YIELD
ANDHRA PRADESH,2003,269870.5,2.6880681818181817
ANDHRA PRADESH,2004,290940.75757575757,2.7816666666666667
ANDHRA PRADESH,2005,354655.2727272727,2.8200000000000003
ANDHRA PRADESH,2006,359761.51515151514,2.8603030303030303
ANDHRA PRADESH,2007,403757.57575757575,3.1353030303030303
ANDHRA PRADESH,2008,431549.48484848486,3.061818181818182
ANDHRA PRADESH,2009,328432.3333333333,2.936212121212121
ANDHRA PRADESH,2010,436948.8787878788,2.9634848484848484
ANDHRA PRADESH,2011,390660.36363636365,2.971060606060606
ANDHRA PRADESH,2012,351941.23076923075,3.093076923076923
ARUNACHAL PRADESH,2003,10305.933333333332,1.2013333333333334
ARUNACHAL PRADESH,2004,8434.375,1.080625
ARUNACHAL PRADESH,2005,9136.9375,1.16125
ARUNACHAL PRADESH,2006,9039.6875,1.151875
ARUNACHAL PRADESH,2007,9884.125,1.225625
ARUNACHAL PRADESH,2008,10283.625,1.183125
ARUNACHAL PRADESH,2009,8993.3125,1.12
ARUNACHAL PRADESH,2010,9749.5625,1.219375
ARUNACHAL PRADESH,2011,9971.4375,1.21875
ARUNACHAL PRADESH,2012,10916.375,1.308125
ASSAM,2003,86242.97777777778,1.4793333333333332
ASSAM,2004,75451.30434782608,1.4041304347826087
ASSAM,2005,66400.71028037384,1.4370093457943924
ASSAM,2006,54000.25925925926,1.3712037037037037
ASSAM,2007,61454.96296296296,1.4989814814814817
ASSAM,2008,74924.01869158879,1.5757009345794393
ASSAM,2009,81637.48148148147,1.6312037037037035
ASSAM,2010,93194.98148148147,1.8866666666666665
ASSAM,2011,93194.98148148147,1.8866666666666665
ASSAM,2012,93194.98148148147,1.8866666666666665
DADRA & NAGAR HAVELI,2003,18622.0,2.01
DADRA & NAGAR HAVELI,2004,19447.333333333332,2.0966666666666667
DADRA & NAGAR HAVELI,2005,22428.666666666668,2.3433333333333333
DADRA & NAGAR HAVELI,2006,23010.0,2.276666666666667
DADRA & NAGAR HAVELI,2007,23010.0,2.276666666666667
DADRA & NAGAR HAVELI,2008,13892.666666666666,1.9633333333333332
DADRA & NAGAR HAVELI,2009,13892.666666666666,1.9633333333333332
DADRA & NAGAR HAVELI,2010,13892.666666666666,1.9633333333333332
DADRA & NAGAR HAVELI,2011,12368.0,1.5433333333333332
DADRA & NAGAR HAVELI,2012,17802.666666666668,1.9333333333333333
DAMAN & DIU,2003,2519.0,1.26
DAMAN & DIU,2004,1549.0,0.77
DAMAN & DIU,2005,2557.0,1.28
DAMAN & DIU,2006,2431.0,1.22
DAMAN & DIU,2007,2341.0,1.17
DAMAN & DIU,2008,2167.0,1.08
DAMAN & DIU,2009,2167.0,1.08
DAMAN & DIU,2010,2301.0,1.15
DAMAN & DIU,2011,2227.0,1.11
DAMAN & DIU,2012,2283.0,1.14
GOA,2003,102396.6,3.2119999999999997
GOA,2004,90733.75,3.4375
GOA,2005,92022.25,3.515
GOA,2006,80590.75,3.05
GOA,2007,76049.5,2.8975
GOA,2008,82202.0,2.52
GOA,2009,67070.0,2.21
GOA,2010,76662.66666666667,2.5033333333333334
GOA,2011,81168.66666666667,2.5966666666666667
GOA,2012,81882.66666666667,2.7100000000000004
GUJARAT,2003,79812.5,1.744375
GUJARAT,2004,79766.66666666667,1.744
GUJARAT,2005,70938.23529411765,2.231176470588235
GUJARAT,2006,62473.529411764706,1.997058823529412
GUJARAT,2007,80838.23529411765,2.2255882352941176
GUJARAT,2008,69117.14285714286,2.016857142857143
GUJARAT,2009,70008.57142857143,2.1222857142857143
GUJARAT,2010,92097.05882352941,2.216764705882353
GUJARAT,2011,97117.14285714286,2.311714285714286
GUJARAT,2012,97117.14285714286,2.311714285714286
HARYANA,2003,155000.0,2.7333333333333334
HARYANA,2004,167222.22222222222,2.832777777777778
HARYANA,2005,168105.26315789475,2.9405263157894734
HARYANA,2006,177421.05263157896,3.004736842105263
HARYANA,2007,189789.47368421053,3.1915789473684213
HARYANA,2008,164950.0,2.569
HARYANA,2009,181400.0,2.8075
HARYANA,2010,173250.0,2.6895
HARYANA,2011,178715.0,2.762
HARYANA,2012,197050.0,3.041
KERALA,2003,21112.777777777777,2.0414814814814815
KERALA,2004,24707.59259259259,2.239074074074074
KERALA,2005,22908.618181818183,2.2156363636363636
KERALA,2006,23330.0,2.354909090909091
KERALA,2007,19217.745454545453,2.2285454545454546
KERALA,2008,21463.30909090909,2.343454545454545
KERALA,2009,21757.78181818182,2.3305454545454545
KERALA,2010,19008.654545454545,2.3074545454545454
KERALA,2011,20690.654545454545,2.489272727272727
KERALA,2012,20690.654545454545,2.489272727272727
MADHYA PRADESH,2003,43208.45918367347,1.091766190367347
MADHYA PRADESH,2004,32984.32323232323,0.8698645672626262
MADHYA PRADESH,2005,41708.37113402062,1.0374327677216495
MADHYA PRADESH,2006,47518.5,1.0071875
MADHYA PRADESH,2007,10815.301075268817,1.0780327377526882
MADHYA PRADESH,2008,39445.37234042553,1.0146372176170213
MADHYA PRADESH,2009,44585.11475409836,1.0298360655737704
MADHYA PRADESH,2010,59241.637931034486,1.2958620689655171
MADHYA PRADESH,2011,35433.78787878788,1.5106060606060607
MADHYA PRADESH,2012,40671.333333333336,1.580909090909091
MAHARASHTRA,2003,106626.0,1.62
MAHARASHTRA,2004,79360.0,1.4312
MAHARASHTRA,2005,102381.63265306123,1.6379591836734695
MAHARASHTRA,2006,98779.59183673469,1.5369387755102042
MAHARASHTRA,2007,1077.7407407407406,1.4014814814814816
MAHARASHTRA,2008,82748.51851851853,1.1374074074074074
MAHARASHTRA,2009,76325.5,1.1103571428571428
MAHARASHTRA,2010,104996.0,1.3112000000000001
MAHARASHTRA,2011,104996.0,1.3112000000000001
MAHARASHTRA,2012,104996.0,1.3112000000000001
MEGHALAYA,2003,28671.85714285714,1.7985714285714285
MEGHALAYA,2004,27674.14285714286,1.717142857142857
MEGHALAYA,2005,15427.925925925925,1.9159259259259258
MEGHALAYA,2006,14300.642857142857,1.8639285714285714
MEGHALAYA,2007,14291.214285714286,1.785
MEGHALAYA,2008,14561.57142857143,1.8167857142857142
MEGHALAYA,2009,14580.642857142857,1.825
MEGHALAYA,2010,14787.214285714286,1.8125
MEGHALAYA,2011,15909.357142857143,1.8407142857142857
MEGHALAYA,2012,15909.357142857143,1.8407142857142857
NAGALAND,2003,28370.0,1.66
NAGALAND,2004,27488.571428571428,1.752857142857143
NAGALAND,2005,29226.666666666668,1.7158333333333333
NAGALAND,2006,28722.5,1.5883333333333336
NAGALAND,2007,34410.833333333336,1.8283333333333334
NAGALAND,2008,36307.5,1.9525000000000001
NAGALAND,2009,25491.25,1.4175
NAGALAND,2010,37621.666666666664,2.1316666666666664
NAGALAND,2011,45917.142857142855,2.174285714285714
NAGALAND,2012,48828.57142857143,2.292857142857143
ORISSA,2003,217900.0,1.4400000000000002
ORISSA,2004,217900.0,1.4400000000000002
ORISSA,2005,189200.0,1.5533103448275862
ORISSA,2006,120761.06194690266,1.5299115044247786
ORISSA,2007,130000.0,1.6539655172413792
ORISSA,2008,119508.77192982456,1.5309649122807019
ORISSA,2009,128018.51851851853,1.5587962962962962
ORISSA,2010,121857.14285714286,1.5582142857142858
ORISSA,2011,107175.92592592593,1.4617592592592592
ORISSA,2012,169553.57142857142,1.235982142857143
PONDICHERRY,2003,7563.5,3.09
PONDICHERRY,2004,4037.3333333333335,2.705
PONDICHERRY,2005,3743.4285714285716,2.505714285714286
PONDICHERRY,2006,6459.333333333333,3.5883333333333334
PONDICHERRY,2007,4670.285714285715,2.8814285714285717
PONDICHERRY,2008,3809.714285714286,2.7414285714285715
PONDICHERRY,2009,4192.285714285715,2.7257142857142855
PONDICHERRY,2010,4842.857142857143,3.142857142857143
PONDICHERRY,2011,4827.714285714285,2.967142857142857
PONDICHERRY,2012,4827.714285714285,2.967142857142857
PUNJAB,2003,568000.0,3.678235294117647
PUNJAB,2004,613941.1764705882,3.7888235294117645
PUNJAB,2005,599588.2352941176,3.820588235294118
PUNJAB,2006,561294.1176470588,3.85
PUNJAB,2007,551823.5294117647,3.9970588235294118
PUNJAB,2008,582470.5882352941,4.034705882352942
PUNJAB,2009,594823.5294117647,4.025294117647059
PUNJAB,2010,573235.2941176471,3.8770588235294117
PUNJAB,2011,573235.2941176471,3.8770588235294117
PUNJAB,2012,598352.9411764706,4.002941176470588
RAJASTHAN,2003,6977.222222222223,1.6977777777777776
RAJASTHAN,2004,5906.65,1.5859999999999999
RAJASTHAN,2005,6253.421052631579,1.66
RAJASTHAN,2006,7492.166666666667,1.828888888888889
RAJASTHAN,2007,9634.388888888889,2.126666666666667
RAJASTHAN,2008,10033.666666666666,1.8966666666666667
RAJASTHAN,2009,10177.388888888889,1.6394444444444445
RAJASTHAN,2010,11237.944444444445,2.0999999999999996
RAJASTHAN,2011,11237.944444444445,2.0999999999999996
RAJASTHAN,2012,11237.944444444445,2.0999999999999996
SIKKIM,2003,5297.5,1.4275
SIKKIM,2004,5402.5,1.37
SIKKIM,2005,5922.5,1.9375
SIKKIM,2006,5362.5,1.425
SIKKIM,2007,4870.0,1.5474999999999999
SIKKIM,2008,5557.5,1.5925
SIKKIM,2009,5232.5,1.595
SIKKIM,2010,5243.25,1.6225
SIKKIM,2011,5220.0,1.6225
