STATE,YEAR,PRODUCTION,YIELD
ANDHRA PRADESH,2003,717610.6666666666,74.48380952380953
ANDHRA PRADESH,2004,749484.380952381,77.12619047619047
ANDHRA PRADESH,2005,840780.7142857143,83.58999999999999
ANDHRA PRADESH,2006,1032935.1428571428,86.37380952380953
ANDHRA PRADESH,2007,1261375.0,83.4125
ANDHRA PRADESH,2008,732523.7619047619,81.6452380952381
ANDHRA PRADESH,2009,584793.15,83.372
ANDHRA PRADESH,2010,711545.4761904762,81.58380952380952
ANDHRA PRADESH,2011,834442.85,86.0155
ANDHRA PRADESH,2012,922548.4615384615,82.5476923076923
ARUNACHAL PRADESH,2003,1856.0,17.284285714285716
ARUNACHAL PRADESH,2004,1307.5555555555557,16.564444444444447
ARUNACHAL PRADESH,2005,1992.625,16.63125
ARUNACHAL PRADESH,2006,1782.5555555555557,17.06888888888889
ARUNACHAL PRADESH,2007,2322.6666666666665,17.202222222222222
ARUNACHAL PRADESH,2008,2489.1111111111113,16.79111111111111
ARUNACHAL PRADESH,2009,2920.5555555555557,17.545555555555556
ARUNACHAL PRADESH,2010,3495.5,21.96
ARUNACHAL PRADESH,2011,3621.25,21.30625
ARUNACHAL PRADESH,2012,3870.1428571428573,20.80857142857143
ASSAM,2003,42667.82608695652,37.43217391304348
ASSAM,2004,38431.52173913043,37.409565217391304
ASSAM,2005,32264.74074074074,37.97296296296296
ASSAM,2006,39086.555555555555,39.10666666666667
ASSAM,2007,36291.11111111111,36.67259259259259
ASSAM,2008,40731.444444444445,37.269999999999996
ASSAM,2009,39348.81481481482,38.25
ASSAM,2010,39864.148148148146,36.275925925925925
ASSAM,2011,39864.148148148146,36.275925925925925
ASSAM,2012,39864.148148148146,36.275925925925925
BIHAR,2003,129875.39393939394,39.121818181818185
BIHAR,2004,124597.63636363637,36.051515151515154
BIHAR,2005,132366.125,37.053125
BIHAR,2006,132366.125,37.053125
BIHAR,2007,133918.26666666666,34.50533333333333
BIHAR,2008,164996.33333333334,39.025
BIHAR,2009,164996.33333333334,39.025
BIHAR,2010,164996.33333333334,39.025
BIHAR,2011,164996.33333333334,39.025
BIHAR,2012,164996.33333333334,39.025
CHHATTISGARH,2003,612.2142857142857,2.8921428571428573
CHHATTISGARH,2004,684.0714285714286,2.807857142857143
CHHATTISGARH,2005,720.0,2.908666666666667
CHHATTISGARH,2006,1053.2307692307693,2.866153846153846
CHHATTISGARH,2007,1354.0,1.7038461538461538
CHHATTISGARH,2008,1130.3076923076924,1.9892307692307691
CHHATTISGARH,2009,2086.7272727272725,2.7736363636363635
CHHATTISGARH,2010,812.2666666666667,1.8513333333333333
CHHATTISGARH,2011,975.6153846153846,8.762307692307692
CHHATTISGARH,2012,975.6153846153846,8.762307692307692
GOA,2003,57607.0,47.61
GOA,2004,57607.0,47.61
GOA,2005,27933.5,53.16
GOA,2006,38852.666666666664,59.14666666666667
GOA,2007,28013.5,57.615
GOA,2008,49253.0,48.24
GOA,2009,52343.0,58.61
GOA,2010,49108.0,53.32
GOA,2011,46584.0,50.91
GOA,2012,46006.0,53.87
GUJARAT,2003,1055750.0,71.59666666666666
GUJARAT,2004,1323454.5454545454,71.64636363636363
GUJARAT,2005,1270428.5714285714,75.31714285714285
GUJARAT,2006,1182428.5714285714,71.79642857142856
GUJARAT,2007,94937.5,7.118125
GUJARAT,2008,88075.0,7.047499999999999
GUJARAT,2009,76137.5,6.6525
GUJARAT,2010,88313.33333333333,7.098
GUJARAT,2011,1085909.0909090908,60.08181818181818
GUJARAT,2012,1085909.0909090908,60.08181818181818
HARYANA,2003,614666.6666666666,57.156
HARYANA,2004,548666.6666666666,59.09866666666667
HARYANA,2005,554000.0,63.099333333333334
HARYANA,2006,603187.5,70.044375
HARYANA,2007,553125.0,63.4625
HARYANA,2008,327625.0,62.02625
HARYANA,2009,291350.0,67.74785714285714
HARYANA,2010,43142.857142857145,7.174285714285714
HARYANA,2011,46333.333333333336,7.748666666666667
HARYANA,2012,468750.0,76.776875
KERALA,2003,29068.0,87.05499999999999
KERALA,2004,15400.0,87.057
KERALA,2005,8302.727272727272,63.626363636363635
KERALA,2006,7306.666666666667,34.07555555555555
KERALA,2007,1591.2,3.79
KERALA,2008,45913.333333333336,122.54166666666667
KERALA,2009,40710.0,87.23571428571428
KERALA,2010,38832.42857142857,82.01571428571428
KERALA,2011,37576.28571428572,76.00714285714285
KERALA,2012,37576.28571428572,76.00714285714285
MADHYA PRADESH,2003,260229.02654867255,38.02682816831858
MADHYA PRADESH,2004,243373.45132743364,38.98406274256637
MADHYA PRADESH,2005,393452.9090909091,40.119069417272726
MADHYA PRADESH,2006,59773.333333333336,31.672444444444444
MADHYA PRADESH,2007,64039.99137931035,40.43658727715517
MADHYA PRADESH,2008,589156.7567567568,40.34185157036036
MADHYA PRADESH,2009,904191.3698630137,48.38506849315068
MADHYA PRADESH,2010,1200714.7945205478,46.88191780821918
MADHYA PRADESH,2011,1200714.7945205478,46.88191780821918
MADHYA PRADESH,2012,59911.30434782609,36.85739130434783
MAHARASHTRA,2003,950681.4814814815,56.65814814814815
MAHARASHTRA,2004,885692.5925925926,64.51
MAHARASHTRA,2005,1492834.6153846155,66.29923076923077
MAHARASHTRA,2006,1492834.6153846155,66.29923076923077
MAHARASHTRA,2007,32707.37037037037,74.20148148148148
MAHARASHTRA,2008,2994992.592592593,65.5479012345679
MAHARASHTRA,2009,2376270.3703703703,76.29222222222222
MAHARASHTRA,2010,3295826.923076923,73.83961538461539
MAHARASHTRA,2011,3295826.923076923,73.83961538461539
MAHARASHTRA,2012,3295826.923076923,73.83961538461539
MEGHALAYA,2003,97.0,2.935
MEGHALAYA,2004,98.5,3.2800000000000002
MEGHALAYA,2005,92.5,2.915
MEGHALAYA,2006,102.5,2.93
MEGHALAYA,2007,109.0,2.92
MEGHALAYA,2008,109.0,2.935
MEGHALAYA,2009,84.5,2.92
MEGHALAYA,2010,72.0,2.935
MEGHALAYA,2011,77.0,2.955
MEGHALAYA,2012,77.0,2.955
NAGALAND,2003,21481.666666666668,37.281666666666666
NAGALAND,2004,28420.0,30.386000000000003
NAGALAND,2005,42176.0,32.32
NAGALAND,2006,46770.0,41.86
NAGALAND,2007,36720.0,55.074999999999996
NAGALAND,2008,18802.5,42.95
NAGALAND,2009,15357.5,30.02625
NAGALAND,2010,18928.75,43.525
NAGALAND,2011,19092.5,43.4975
NAGALAND,2012,19202.5,43.51125
ORISSA,2003,29589.51724137931,54.54655172413793
ORISSA,2004,33074.46428571428,56.763214285714284
ORISSA,2005,49333.75862068965,57.81310344827586
ORISSA,2006,43943.862068965514,58.801034482758624
ORISSA,2007,36244.38983050847,53.20949152542373
ORISSA,2008,22284.241379310344,53.25
ORISSA,2009,16894.51724137931,54.97620689655172
ORISSA,2010,32239.285714285714,62.2525
ORISSA,2011,31597.0,59.61214285714285
ORISSA,2012,34013.21428571428,67.76214285714285
PONDICHERRY,2003,73337.5,54.985
PONDICHERRY,2004,57845.0,63.66
PONDICHERRY,2005,149500.0,109.13
PONDICHERRY,2006,191853.0,112.30000000000001
PONDICHERRY,2007,114208.0,86.75
PONDICHERRY,2008,81161.5,79.25
PONDICHERRY,2009,123627.0,97.28
PONDICHERRY,2010,138841.5,115.19
PONDICHERRY,2011,287785.0,147.66
PONDICHERRY,2012,287785.0,147.66
RAJASTHAN,2003,12912.833333333334,52.66833333333333
RAJASTHAN,2004,12912.833333333334,52.66833333333333
RAJASTHAN,2005,20031.083333333332,63.14875
RAJASTHAN,2006,26206.791666666668,61.03333333333333
RAJASTHAN,2007,25828.521739130436,59.21565217391304
RAJASTHAN,2008,16835.652173913044,56.18391304347826
RAJASTHAN,2009,14953.304347826086,59.632173913043474
RAJASTHAN,2010,15375.791666666666,67.95375
RAJASTHAN,2011,15375.791666666666,67.95375
RAJASTHAN,2012,15375.791666666666,67.95375
TAMIL NADU,2003,751126.0384615385,96.11384615384615
TAMIL NADU,2004,873473.0,104.66
TAMIL NADU,2005,1254045.3214285714,102.48428571428572
TAMIL NADU,2006,1715619.0,118.17464285714286
TAMIL NADU,2007,1359677.3214285714,104.98035714285713
TAMIL NADU,2008,1171388.857142857,119.41642857142857
TAMIL NADU,2009,1044616.1851851852,99.17407407407407
TAMIL NADU,2010,1210036.0,107.15629629629629
TAMIL NADU,2011,1376635.2962962964,113.62518518518519
TAMIL NADU,2012,1171966.892857143,93.54607142857142
UTTAR PRADESH,2003,1718285.5633802817,49.07943661971831
UTTAR PRADESH,2004,1778892.295774648,53.27056338028169
UTTAR PRADESH,2005,1834745.2112676057,48.9812676056338
UTTAR PRADESH,2006,1951861.38028169,52.06408450704225
UTTAR PRADESH,2007,1814984.042253521,49.82169014084507
UTTAR PRADESH,2008,1590268.8732394367,47.70535211267605
UTTAR PRADESH,2009,1687234.4166666667,50.49055555555556
UTTAR PRADESH,2010,1738327.736111111,52.42888888888889
UTTAR PRADESH,2011,1812917.281690141,55.092816901408455
UTTAR PRADESH,2012,1816889.309859155,56.594647887323944
