STATE,YEAR,PRODUCTION,YIELD
ANDHRA PRADESH,2003,915.9333333333333,0.5673333333333334
ANDHRA PRADESH,2004,511.6666666666667,0.47333333333333333
ANDHRA PRADESH,2005,889.1,0.774
ANDHRA PRADESH,2006,879.5,0.7230000000000001
ANDHRA PRADESH,2007,2000.0,1.0
ANDHRA PRADESH,2008,1713.4444444444443,1.0266666666666666
ANDHRA PRADESH,2009,1146.5555555555557,0.9500000000000001
ANDHRA PRADESH,2010,1308.7,1.3130000000000002
ANDHRA PRADESH,2011,1212.6666666666667,1.3066666666666666
ANDHRA PRADESH,2012,191.33333333333334,1.1566666666666665
ARUNACHAL PRADESH,2003,703.75,1.5725
ARUNACHAL PRADESH,2004,594.9,1.625
ARUNACHAL PRADESH,2005,541.2,1.626
ARUNACHAL PRADESH,2006,494.0,1.6909090909090907
ARUNACHAL PRADESH,2007,412.1818181818182,1.6072727272727272
ARUNACHAL PRADESH,2008,486.1111111111111,1.5966666666666667
ARUNACHAL PRADESH,2009,504.25,1.63125
ARUNACHAL PRADESH,2010,623.875,1.695
ARUNACHAL PRADESH,2011,690.75,1.87
ARUNACHAL PRADESH,2012,455.25,1.74
ASSAM,2003,3326.6363636363635,1.0409090909090908
ASSAM,2004,2960.1304347826085,1.0569565217391304
ASSAM,2005,2149.24,1.0876000000000001
ASSAM,2006,2496.777777777778,1.1344444444444444
ASSAM,2007,2622.1111111111113,1.2251851851851852
ASSAM,2008,2098.1153846153848,1.0457692307692308
ASSAM,2009,2418.5555555555557,1.097037037037037
ASSAM,2010,2082.074074074074,1.1966666666666668
ASSAM,2011,2082.074074074074,1.1966666666666668
ASSAM,2012,2082.074074074074,1.1966666666666668
CHANDIGARH,2003,3000.0,4.62
CHANDIGARH,2004,2400.0,4.0
CHANDIGARH,2005,2750.0,4.58
CHANDIGARH,2006,2800.0,4.67
CHANDIGARH,2007,2800.0,4.67
CHANDIGARH,2008,2700.0,4.5
CHANDIGARH,2009,2700.0,4.5
CHANDIGARH,2010,2715.0,4.53
CHANDIGARH,2011,2715.0,4.53
CHANDIGARH,2012,2715.0,4.53
GUJARAT,2003,84854.16666666667,2.68875
GUJARAT,2004,72220.0,2.6312
GUJARAT,2005,92768.0,2.5792
GUJARAT,2006,111660.0,2.5696
GUJARAT,2007,153508.0,2.9304
GUJARAT,2008,103216.0,2.344
GUJARAT,2009,93612.0,2.6124
GUJARAT,2010,208162.5,3.0279166666666666
GUJARAT,2011,162212.0,3.0060000000000002
