,STATE,YEAR,AREA,PRODUCTION,YIELD
0,ANDAMAN & NICOBAR ISLANDS,2002,5442.5,16056.0,2.825
1,ANDAMAN & NICOBAR ISLANDS,2003,5280.5,15425.5,2.33
2,ANDAMAN & NICOBAR ISLANDS,2004,5367.5,14596.5,2.05
3,ANDAMAN & NICOBAR ISLANDS,2005,4342.5,12941.5,4.375
4,ANDAMAN & NICOBAR ISLANDS,2006,922.0,2540.0,2.75
5,ANDAMAN & NICOBAR ISLANDS,2010,800.0,1899.0,2.615
8,ANDHRA PRADESH,2000,126648.29850746269,371880.32835820894,2.7956716417910448
9,ANDHRA PRADESH,2001,115901.42424242424,345145.1818181818,2.8084848484848486
10,ANDHRA PRADESH,2002,88103.79545454546,223949.68181818182,2.300227272727273
11,ANDHRA PRADESH,2003,91571.31818181818,269870.5,2.6880681818181817
12,ANDHRA PRADESH,2004,93953.0923076923,293140.0153846154,2.7896923076923077
13,ANDHRA PRADESH,2005,120659.12121212122,354655.2727272727,2.8200000000000003
14,ANDHRA PRADESH,2006,120542.12121212122,359761.51515151514,2.8603030303030303
15,ANDHRA PRADESH,2007,120727.27272727272,403757.57575757575,3.1353030303030303
16,ANDHRA PRADESH,2008,132945.9393939394,431549.48484848486,3.061818181818182
17,ANDHRA PRADESH,2009,104264.72727272728,328432.3333333333,2.936212121212121
18,ANDHRA PRADESH,2010,143979.0606060606,436948.8787878788,2.9634848484848484
19,ANDHRA PRADESH,2011,124116.60606060606,390660.36363636365,2.971060606060606
20,ANDHRA PRADESH,2012,113294.20512820513,351941.23076923075,3.093076923076923
21,ANDHRA PRADESH,2013,132484.10256410256,409919.23076923075,3.034102564102564
24,ARUNACHAL PRADESH,2000,9123.153846153846,10206.923076923076,1.066153846153846
25,ARUNACHAL PRADESH,2001,9504.583333333334,10801.75,1.1525
26,ARUNACHAL PRADESH,2002,8361.846153846154,10120.0,1.1653846153846155
27,ARUNACHAL PRADESH,2003,7650.357142857143,9042.07142857143,1.122142857142857
28,ARUNACHAL PRADESH,2004,7602.625,8434.375,1.080625
29,ARUNACHAL PRADESH,2005,7641.6875,9136.9375,1.16125
30,ARUNACHAL PRADESH,2006,7689.875,9039.6875,1.151875
31,ARUNACHAL PRADESH,2007,7751.8125,9884.125,1.225625
32,ARUNACHAL PRADESH,2008,7924.9375,10283.625,1.183125
33,ARUNACHAL PRADESH,2009,7353.266666666666,8997.2,1.1413333333333333
34,ARUNACHAL PRADESH,2010,7598.125,9749.5625,1.219375
35,ARUNACHAL PRADESH,2011,7718.75,9971.4375,1.21875
36,ARUNACHAL PRADESH,2012,7880.3125,10916.375,1.308125
39,ASSAM,2000,57525.586956521736,86922.67391304347,1.5406521739130437
40,ASSAM,2001,55074.434782608696,83792.13043478261,1.5253260869565215
41,ASSAM,2002,55232.17391304348,81256.56521739131,1.4841304347826085
42,ASSAM,2003,56085.41111111111,86242.97777777778,1.4793333333333332
43,ASSAM,2004,51820.239130434784,75451.30434782608,1.4041304347826087
44,ASSAM,2005,45239.7570093458,66400.71028037384,1.4370093457943924
45,ASSAM,2006,40677.01851851852,54000.25925925926,1.3712037037037037
46,ASSAM,2007,43036.96296296296,61454.96296296296,1.4989814814814817
47,ASSAM,2008,46432.26168224299,74924.01869158879,1.5757009345794393
48,ASSAM,2009,46251.77777777778,81637.48148148147,1.6312037037037035
49,ASSAM,2010,47456.50961538462,93751.53846153847,1.85375
52,BIHAR,2000,49356.54081632653,68544.41836734694,1.3936734693877553
53,BIHAR,2001,48131.6875,62954.635416666664,1.3556249999999999
54,BIHAR,2002,49254.425531914894,62380.063829787236,1.291808510638298
55,BIHAR,2003,49057.851485148516,68288.0,1.3082178217821783
56,BIHAR,2004,45854.56043956044,29489.274725274725,0.8268131868131867
57,BIHAR,2005,45946.344086021505,47640.3870967742,1.0701075268817204
58,BIHAR,2006,48545.769230769234,62603.03296703297,1.2653846153846156
59,BIHAR,2007,47324.38043478261,48220.15217391304,1.0444565217391304
60,BIHAR,2008,48899.96629213483,71787.49438202247,1.397752808988764
61,CHHATTISGARH,2000,251964.5,135038.5,0.5900000000000001
62,CHHATTISGARH,2001,253602.5,353663.5,1.42
63,CHHATTISGARH,2002,249819.5,134754.0,0.54
64,CHHATTISGARH,2003,256263.5,407706.5,1.52
65,CHHATTISGARH,2004,259801.5,354300.5,1.24
66,CHHATTISGARH,2005,262195.0,404396.5,1.265
67,CHHATTISGARH,2006,266018.5,370151.5,1.195
68,CHHATTISGARH,2007,267220.0,392987.0,1.185
69,CHHATTISGARH,2008,267679.5,252601.0,1.05
70,CHHATTISGARH,2009,259794.0,202438.0,0.755
71,CHHATTISGARH,2010,264977.0,459330.0,1.46
72,CHHATTISGARH,2011,99653.0,176785.0,1.71
75,DADRA & NAGAR HAVELI,2000,10145.333333333334,19108.666666666668,1.9666666666666668
76,DADRA & NAGAR HAVELI,2001,9252.666666666666,20690.0,2.216666666666667
77,DADRA & NAGAR HAVELI,2002,9122.0,25547.333333333332,2.606666666666667
78,DADRA & NAGAR HAVELI,2003,9264.666666666666,18622.0,2.01
79,DADRA & NAGAR HAVELI,2004,9324.666666666666,19447.333333333332,2.0966666666666667
80,DADRA & NAGAR HAVELI,2005,9040.0,22428.666666666668,2.3433333333333333
81,DADRA & NAGAR HAVELI,2006,10268.0,23010.0,2.276666666666667
82,DADRA & NAGAR HAVELI,2010,7200.0,13892.666666666666,1.9633333333333332
83,DADRA & NAGAR HAVELI,2011,7110.0,12368.0,1.5433333333333332
84,DADRA & NAGAR HAVELI,2012,9222.666666666666,17802.666666666668,1.9333333333333333
87,DAMAN & DIU,2000,,2412.0,1.21
88,DAMAN & DIU,2002,,2253.0,1.13
89,DAMAN & DIU,2003,,2519.0,1.26
90,DAMAN & DIU,2004,,1549.0,0.77
91,DAMAN & DIU,2005,,2557.0,1.28
92,DAMAN & DIU,2006,,2431.0,1.22
93,DAMAN & DIU,2007,,2341.0,1.17
94,DAMAN & DIU,2008,,2167.0,1.08
95,DAMAN & DIU,2009,,2167.0,1.08
96,DAMAN & DIU,2010,,2301.0,1.15
97,DAMAN & DIU,2011,,2227.0,1.11
98,DAMAN & DIU,2012,,2283.0,1.14
101,DELHI,2000,6053.0,11420.0,1.89
102,DELHI,2001,6405.0,12063.0,1.88
103,DELHI,2002,6096.0,12907.0,2.12
104,DELHI,2003,6549.0,17909.0,2.73
105,DELHI,2004,8431.0,28216.0,3.35
106,DELHI,2005,7506.0,21092.0,2.81
107,DELHI,2006,7381.0,20815.0,2.82
108,DELHI,2007,7419.0,20946.0,2.82
111,GOA,2000,34324.2,85273.8,2.524
112,GOA,2001,29629.8,75913.8,2.588
113,GOA,2002,30101.4,80860.2,2.69
114,GOA,2003,31680.6,102396.6,3.2119999999999997
115,GOA,2004,25116.333333333332,78146.33333333333,3.1333333333333333
116,GOA,2005,26088.5,92022.25,3.515
117,GOA,2006,26242.5,80590.75,3.05
118,GOA,2007,26095.5,76049.5,2.8975
119,GOA,2008,33310.666666666664,82202.0,2.52
120,GOA,2009,31402.666666666668,67070.0,2.21
121,GOA,2010,31074.666666666668,76662.66666666667,2.5033333333333334
122,GOA,2011,31491.333333333332,81168.66666666667,2.5966666666666667
123,GOA,2012,30553.333333333332,81882.66666666667,2.7100000000000004
124,GOA,2013,14273.333333333334,42170.333333333336,2.9916666666666667
127,GUJARAT,2000,42818.181818181816,36290.90909090909,0.8927272727272727
128,GUJARAT,2001,55316.666666666664,85700.0,1.5391666666666666
