,YEAR,STATE,COMMODITY,YIELD
0,2002,ALABAMA,SOYBEANS,24
1,2003,ALABAMA,SOYBEANS,36
2,2004,ALABAMA,SOYBEANS,35
3,2005,ALABAMA,SOYBEANS,33
4,2006,ALABAMA,SOYBEANS,20
5,2007,ALABAMA,SOYBEANS,21
6,2008,ALABAMA,SOYBEANS,35
7,2009,ALABAMA,SOYBEANS,40
8,2010,ALABAMA,SOYBEANS,26
9,2011,ALABAMA,SOYBEANS,33
10,2012,ALABAMA,SOYBEANS,45
11,2013,ALABAMA,SOYBEANS,43.5
12,2014,ALABAMA,SOYBEANS,40
13,2015,ALABAMA,SOYBEANS,41
14,2017,ALABAMA,SOYBEANS,46
15,2018,ALABAMA,SOYBEANS,40
16,2019,ALABAMA,SOYBEANS,36
17,2020,ALABAMA,SOYBEANS,41
18,2021,ALABAMA,SOYBEANS,46
20,2000,ARKANSAS,SOYBEANS,25.5
21,2001,ARKANSAS,SOYBEANS,32
22,2002,ARKANSAS,SOYBEANS,33.5
23,2003,ARKANSAS,SOYBEANS,38.5
24,2004,ARKANSAS,SOYBEANS,39
25,2005,ARKANSAS,SOYBEANS,34
26,2006,ARKANSAS,SOYBEANS,35
27,2007,ARKANSAS,SOYBEANS,36
28,2008,ARKANSAS,SOYBEANS,38
29,2009,ARKANSAS,SOYBEANS,37.5
30,2010,ARKANSAS,SOYBEANS,35
31,2011,ARKANSAS,SOYBEANS,38.5
32,2012,ARKANSAS,SOYBEANS,43.5
33,2013,ARKANSAS,SOYBEANS,43.5
34,2014,ARKANSAS,SOYBEANS,49.5
35,2015,ARKANSAS,SOYBEANS,49
36,2016,ARKANSAS,SOYBEANS,47
37,2017,ARKANSAS,SOYBEANS,51
38,2018,ARKANSAS,SOYBEANS,50.5
39,2019,ARKANSAS,SOYBEANS,49
40,2020,ARKANSAS,SOYBEANS,51.5
41,2021,ARKANSAS,SOYBEANS,51
42,2022,ARKANSAS,SOYBEANS,53
43,2000,DELAWARE,SOYBEANS,43
44,2001,DELAWARE,SOYBEANS,39
45,2002,DELAWARE,SOYBEANS,25
46,2003,DELAWARE,SOYBEANS,36
47,2004,DELAWARE,SOYBEANS,42.5
48,2005,DELAWARE,SOYBEANS,26
49,2006,DELAWARE,SOYBEANS,31.5
50,2007,DELAWARE,SOYBEANS,26
51,2008,DELAWARE,SOYBEANS,27.5
52,2009,DELAWARE,SOYBEANS,42
53,2010,DELAWARE,SOYBEANS,32
54,2011,DELAWARE,SOYBEANS,39.5
55,2012,DELAWARE,SOYBEANS,42.5
56,2013,DELAWARE,SOYBEANS,40.5
57,2014,DELAWARE,SOYBEANS,47.5
58,2015,DELAWARE,SOYBEANS,40
59,2016,DELAWARE,SOYBEANS,41.5
60,2017,DELAWARE,SOYBEANS,51
61,2018,DELAWARE,SOYBEANS,41.5
62,2019,DELAWARE,SOYBEANS,47
63,2020,DELAWARE,SOYBEANS,49
64,2021,DELAWARE,SOYBEANS,51
65,2022,DELAWARE,SOYBEANS,46
66,2000,FLORIDA,SOYBEANS,19
67,2001,FLORIDA,SOYBEANS,29
68,2002,FLORIDA,SOYBEANS,33
69,2003,FLORIDA,SOYBEANS,30
70,2004,FLORIDA,SOYBEANS,34
71,2005,FLORIDA,SOYBEANS,32
72,2006,FLORIDA,SOYBEANS,27
73,2007,FLORIDA,SOYBEANS,24
74,2008,FLORIDA,SOYBEANS,38
75,2009,FLORIDA,SOYBEANS,38
76,2010,FLORIDA,SOYBEANS,30
77,2011,FLORIDA,SOYBEANS,27
78,2012,FLORIDA,SOYBEANS,39
79,2013,FLORIDA,SOYBEANS,41
80,2014,FLORIDA,SOYBEANS,43
81,2015,FLORIDA,SOYBEANS,38
82,2016,FLORIDA,SOYBEANS,36
83,2017,FLORIDA,SOYBEANS,34
84,2018,FLORIDA,SOYBEANS,37
85,2000,GEORGIA,SOYBEANS,24
86,2001,GEORGIA,SOYBEANS,26
87,2002,GEORGIA,SOYBEANS,23
88,2003,GEORGIA,SOYBEANS,34
89,2004,GEORGIA,SOYBEANS,31
90,2005,GEORGIA,SOYBEANS,26
91,2006,GEORGIA,SOYBEANS,25
92,2007,GEORGIA,SOYBEANS,30
93,2008,GEORGIA,SOYBEANS,31
94,2009,GEORGIA,SOYBEANS,36
95,2010,GEORGIA,SOYBEANS,26
96,2011,GEORGIA,SOYBEANS,22
97,2012,GEORGIA,SOYBEANS,37.5
98,2013,GEORGIA,SOYBEANS,40.5
99,2014,GEORGIA,SOYBEANS,40
100,2015,GEORGIA,SOYBEANS,43
101,2016,GEORGIA,SOYBEANS,30
102,2017,GEORGIA,SOYBEANS,42
103,2018,GEORGIA,SOYBEANS,39.5
104,2019,GEORGIA,SOYBEANS,29
105,2020,GEORGIA,SOYBEANS,41
106,2021,GEORGIA,SOYBEANS,46
107,2022,GEORGIA,SOYBEANS,44
108,2000,ILLINOIS,SOYBEANS,44
109,2001,ILLINOIS,SOYBEANS,45
110,2002,ILLINOIS,SOYBEANS,43
111,2003,ILLINOIS,SOYBEANS,37
112,2004,ILLINOIS,SOYBEANS,50
113,2005,ILLINOIS,SOYBEANS,46.5
114,2006,ILLINOIS,SOYBEANS,48
115,2007,ILLINOIS,SOYBEANS,43.5
116,2008,ILLINOIS,SOYBEANS,47
117,2009,ILLINOIS,SOYBEANS,46
118,2010,ILLINOIS,SOYBEANS,51.5
119,2011,ILLINOIS,SOYBEANS,47.5
120,2012,ILLINOIS,SOYBEANS,43
121,2013,ILLINOIS,SOYBEANS,50
122,2014,ILLINOIS,SOYBEANS,56
123,2015,ILLINOIS,SOYBEANS,56
124,2016,ILLINOIS,SOYBEANS,59
125,2017,ILLINOIS,SOYBEANS,58
126,2018,ILLINOIS,SOYBEANS,63.5
127,2019,ILLINOIS,SOYBEANS,54
128,2020,ILLINOIS,SOYBEANS,60
129,2021,ILLINOIS,SOYBEANS,64
130,2022,ILLINOIS,SOYBEANS,66
131,2000,INDIANA,SOYBEANS,46
132,2001,INDIANA,SOYBEANS,49
133,2002,INDIANA,SOYBEANS,41.5
134,2003,INDIANA,SOYBEANS,38
135,2004,INDIANA,SOYBEANS,51.5
136,2005,INDIANA,SOYBEANS,49
137,2006,INDIANA,SOYBEANS,50
138,2007,INDIANA,SOYBEANS,46
139,2008,INDIANA,SOYBEANS,45
140,2009,INDIANA,SOYBEANS,49
141,2010,INDIANA,SOYBEANS,48.5
142,2011,INDIANA,SOYBEANS,45.5
143,2012,INDIANA,SOYBEANS,44
144,2013,INDIANA,SOYBEANS,51.5
145,2014,INDIANA,SOYBEANS,55.5
146,2015,INDIANA,SOYBEANS,50
147,2016,INDIANA,SOYBEANS,57.5
148,2017,INDIANA,SOYBEANS,54
149,2018,INDIANA,SOYBEANS,57.5
150,2019,INDIANA,SOYBEANS,51
151,2020,INDIANA,SOYBEANS,59
152,2021,INDIANA,SOYBEANS,59.5
153,2022,INDIANA,SOYBEANS,60
154,2000,IOWA,SOYBEANS,43.5
155,2001,IOWA,SOYBEANS,44
156,2002,IOWA,SOYBEANS,48
157,2003,IOWA,SOYBEANS,32.5
158,2004,IOWA,SOYBEANS,49
159,2005,IOWA,SOYBEANS,52.5
160,2006,IOWA,SOYBEANS,50.5
161,2007,IOWA,SOYBEANS,52
162,2008,IOWA,SOYBEANS,46.5
163,2009,IOWA,SOYBEANS,51
164,2010,IOWA,SOYBEANS,51
165,2011,IOWA,SOYBEANS,51.5
166,2012,IOWA,SOYBEANS,45
167,2013,IOWA,SOYBEANS,45.5
168,2014,IOWA,SOYBEANS,51
169,2015,IOWA,SOYBEANS,56.5
170,2016,IOWA,SOYBEANS,60
171,2017,IOWA,SOYBEANS,57
172,2018,IOWA,SOYBEANS,56
173,2019,IOWA,SOYBEANS,55
174,2020,IOWA,SOYBEANS,54
175,2021,IOWA,SOYBEANS,62
176,2022,IOWA,SOYBEANS,58
177,2000,KANSAS,SOYBEANS,20
178,2001,KANSAS,SOYBEANS,32
179,2002,KANSAS,SOYBEANS,23
180,2003,KANSAS,SOYBEANS,23
181,2004,KANSAS,SOYBEANS,41
182,2005,KANSAS,SOYBEANS,37
183,2006,KANSAS,SOYBEANS,32
184,2007,KANSAS,SOYBEANS,33
185,2008,KANSAS,SOYBEANS,37
186,2009,KANSAS,SOYBEANS,44.5
187,2010,KANSAS,SOYBEANS,33
188,2011,KANSAS,SOYBEANS,27.5
189,2012,KANSAS,SOYBEANS,23
190,2013,KANSAS,SOYBEANS,37
191,2014,KANSAS,SOYBEANS,35.5
192,2015,KANSAS,SOYBEANS,38.5
193,2016,KANSAS,SOYBEANS,48
194,2017,KANSAS,SOYBEANS,37.5
195,2018,KANSAS,SOYBEANS,43
196,2019,KANSAS,SOYBEANS,41.5
197,2020,KANSAS,SOYBEANS,41
198,2021,KANSAS,SOYBEANS,39.5
199,2022,KANSAS,SOYBEANS,40
200,2000,KENTUCKY,SOYBEANS,39
201,2001,KENTUCKY,SOYBEANS,40
202,2002,KENTUCKY,SOYBEANS,33
203,2003,KENTUCKY,SOYBEANS,43.5
204,2004,KENTUCKY,SOYBEANS,44
205,2005,KENTUCKY,SOYBEANS,43
206,2006,KENTUCKY,SOYBEANS,44
207,2007,KENTUCKY,SOYBEANS,27.5
208,2008,KENTUCKY,SOYBEANS,34.5
209,2009,KENTUCKY,SOYBEANS,48
210,2010,KENTUCKY,SOYBEANS,34
211,2011,KENTUCKY,SOYBEANS,39
212,2012,KENTUCKY,SOYBEANS,40
