"COUNTRY,C,10","NAME_1,C,22","VARNAME_1,C,33","NL_NAME_1,C,10","TYPE_1,C,14"
India,Andhra Pradesh,NA,NA,State
India,Arunachal Pradesh,Agence de la Fronti?¿re du Nord-E,NA,State
India,Assam,NA,NA,State
India,Bihar,NA,NA,State
India,Chandigarh,NA,NA,Union Territor
India,Dadra and Nagar Haveli,DAdra et Nagar Haveli|Dadra e Na,NA,Union Territor
India,Daman and Diu,NA,NA,Union Territor
India,Goa,G??a,NA,State
India,Gujarat,Goudjerate|Gujerat|Gujerate,NA,State
India,Haryana,NA,NA,State
India,Himachal Pradesh,NA,NA,Union Territor
India,Karnataka,Maisur|Mysore,NA,State
India,Kerala,NA,NA,State
India,Lakshadweep,?ìles Laquedives|Laccadive|Minico,NA,Union Territor
India,Madhya Pradesh,NA,NA,State
India,Maharashtra,NA,NA,State
India,Manipur,NA,NA,State
India,Meghalaya,NA,NA,State
India,Mizoram,NA,NA,State
India,Nagaland,NA,NA,State
India,Orissa,NA,NA,State
India,Pondicherry,Pondicherry|Puduchcheri|Pondich?®,NA,Union Territor
India,Punjab,NA,NA,State
India,Rajasthan,Greater Rajasthan|Rajputana,NA,State
India,Sikkim,NA,NA,State
India,Tamil Nadu,Madras|Tamilnad,NA,State
India,Uttar Pradesh,United Provinces,NA,State
