"UNCODEOR,N,20,5","CNTNAME3,C,11","COUNTRY_NA,C,24","CNTCODE,N,20,5","NAME1_,C,33","PCODE,C,6","COMMENTS_,C,50"
840,USA,United States of America,231,Delaware,USA008,
840,USA,United States of America,231,Florida,USA010,
840,USA,United States of America,231,Hawaii,USA012,
840,USA,United States of America,231,Idaho,USA013,
840,USA,United States of America,231,Iowa,USA016,
840,USA,United States of America,231,Kansas,USA017,
840,USA,United States of America,231,Kentucky,USA018,
840,USA,United States of America,231,Louisiana,USA019,
840,USA,United States of America,231,Maryland,USA021,
840,USA,United States of America,231,Michigan,USA023,
840,USA,United States of America,231,Minnesota,USA024,
840,USA,United States of America,231,Missouri,USA026,
840,USA,United States of America,231,Montana,USA027,
840,USA,United States of America,231,Nebraska,USA028,
840,USA,United States of America,231,Nevada,USA029,
840,USA,United States of America,231,New Hampshire,USA030,
840,USA,United States of America,231,New Jersey,USA031,
840,USA,United States of America,231,North Carolina,USA034,
840,USA,United States of America,231,Ohio,USA036,
840,USA,United States of America,231,Oregon,USA038,
840,USA,United States of America,231,Pennsylvania,USA039,
840,USA,United States of America,231,Rhode Island,USA040,
840,USA,United States of America,231,Tennessee,USA043,
840,USA,United States of America,231,Texas,USA044,
840,USA,United States of America,231,Utah,USA045,
840,USA,United States of America,231,Vermont,USA046,
840,USA,United States of America,231,Virginia,USA047,
840,USA,United States of America,231,Washington,USA048,
840,USA,United States of America,231,Wisconsin,USA050,
840,USA,United States of America,231,Wyoming,USA051,
